year,problem,clear_winners_95,clear_winners_90,new_clear_winners,significant_pairs_95,significant_pairs_90,critical_95,critical_90,interval_width_reduction_pct
2020,Rushing yards,3,3,0,53,53,3.4965672075321215,3.203362262986119,8.385508618693095
2021,Pass completion,5,5,0,38,46,5.25232412129513,4.186787712612984,20.28695076836582
2022,Punt returns,0,0,0,36,42,7.180518833881797,5.976597444049526,16.766495815754713
2023,Sack probability,0,0,0,0,0,31.551734749867027,25.87774642098352,17.983126360135937
2024,Tackle candidate,6,6,0,53,53,3.4940813268588866,3.230389840466504,7.5468044880751535
2025,Man/Zone,3,4,1,34,36,3.7688751898636985,3.3755688261467833,10.435643100485347
