model,model_display_name,n_train,metric,base_metric,aggregation,n_repeats,mean,sd,mcse,median,iqr,q05,q95,q10,q90
ridge_sgd_l2,L2 one-vs-rest logistic,160,coverage_game_equal,coverage,game_equal,100,0.9373584341726701,0.004679280482470829,0.0004679280482470829,0.9377004660625742,0.006594067597293973,0.928813059537943,0.9444727128449488,0.9312556083022626,0.9427478272267085
set_transformer,Set Transformer,160,coverage_game_equal,coverage,game_equal,100,0.9236776797571133,0.007336417323723528,0.0007336417323723528,0.9224065243579427,0.009970313818007503,0.9143104112674931,0.9345911259273028,0.91536938434528,0.9315595892927291
zoo_cnn,Zoo CNN,160,coverage_game_equal,coverage,game_equal,100,0.9183052592526113,0.007176313830908049,0.0007176313830908049,0.9178485750911074,0.008797903042230937,0.9072889694704569,0.9301175930792128,0.909698794549985,0.928374099700249
lightgbm_multiclass,LightGBM,240,coverage_game_equal,coverage,game_equal,100,0.9140979732726703,0.005057594269219356,0.0005057594269219357,0.9140403963948693,0.007244608494253235,0.9057622681294226,0.9211247333620376,0.9082834800793131,0.9195460931389593
ridge_sgd_l2,L2 one-vs-rest logistic,240,coverage_game_equal,coverage,game_equal,100,0.9370735045507159,0.00443372777725631,0.000443372777725631,0.937540082503598,0.00605586742443176,0.9295127741922211,0.943477136239778,0.930534754598082,0.9417232036394256
set_transformer,Set Transformer,240,coverage_game_equal,coverage,game_equal,100,0.9237653968525212,0.006618143239002144,0.0006618143239002144,0.9234548006488662,0.008805099790667348,0.9141608868291479,0.9361724498903744,0.9155359406296119,0.9332122620082534
zoo_cnn,Zoo CNN,240,coverage_game_equal,coverage,game_equal,100,0.9190094406644299,0.006646346381945153,0.0006646346381945152,0.9198026677925788,0.009425711545776094,0.9076798507032972,0.9303350561671512,0.9098344604420378,0.9273018675052704
lightgbm_multiclass,LightGBM,360,coverage_game_equal,coverage,game_equal,100,0.9155894166487795,0.005120639564126155,0.0005120639564126155,0.9159430352285984,0.0059014870703690825,0.9067036232055471,0.9229251059924157,0.9087702748982036,0.921643596228937
ridge_sgd_l2,L2 one-vs-rest logistic,360,coverage_game_equal,coverage,game_equal,100,0.9369227943248777,0.004373165857451633,0.0004373165857451633,0.937227930984444,0.005605913457159217,0.9290540277342472,0.9433126397119928,0.9310349341248294,0.9424910213343354
set_transformer,Set Transformer,360,coverage_game_equal,coverage,game_equal,100,0.9261340357976314,0.0076948314621336725,0.0007694831462133672,0.9252942552664194,0.010383051678317434,0.9153778509610082,0.9385097619590882,0.9174064368882652,0.9366629941681757
zoo_cnn,Zoo CNN,360,coverage_game_equal,coverage,game_equal,100,0.9188483553360683,0.00749687549887177,0.000749687549887177,0.9182730953603908,0.009306227058629934,0.9098014136111607,0.9332161673969701,0.9110236629072533,0.9294589110261414
lightgbm_multiclass,LightGBM,20,crps,crps,play,100,0.014217837126028247,0.00028403158052374357,2.8403158052374356e-05,0.014212829714601999,0.00037037832314557387,0.01376699914858133,0.014693482774570464,0.01383827549715127,0.01455166417173062
ridge_sgd_l2,L2 one-vs-rest logistic,20,crps,crps,play,100,0.014285241836098934,0.000256482718690654,2.5648271869065403e-05,0.014273337325044,0.00035544023580517427,0.013867661058267011,0.01471136657503524,0.013956867262911201,0.01464851343709765
set_transformer,Set Transformer,20,crps,crps,play,100,0.013899283931633916,0.0003282605984384003,3.2826059843840035e-05,0.0139283491632848,0.0004100696130140257,0.01341786364201253,0.014386722909758535,0.013479928848647751,0.01431944647011848
zoo_cnn,Zoo CNN,20,crps,crps,play,100,0.01628981577911666,0.0011825011596770128,0.00011825011596770128,0.016013493826115,0.0008607091064710276,0.01523336342264909,0.018659175320287234,0.01533327404918884,0.017506902995933334
