metric,n_train,model_a,model_b,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws
mean_q,20,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,-1.0216525597374018,0.21824551740116027,0.02182455174011603,-1.0578898524307256,-0.9854152670440779,-1.1000426847363036,-0.9432624347384998,0.9,3.591832076661254,10000
mean_q,20,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,-2.320602662820778,1.4490193997740284,0.14490193997740283,-2.5611965624489623,-2.0800087631925934,-2.841066098802057,-1.8001392268394987,0.9,3.591832076661254,10000
mean_q,20,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,-0.029247815158672842,0.3602128459213291,0.036021284592132906,-0.0890572375238214,0.030561607206475716,-0.1586302205992396,0.10013459028189392,0.9,3.591832076661254,10000
mean_q,20,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,100,-1.2989501030833766,1.4498374800221345,0.14498374800221345,-1.5396798360324477,-1.0582203701343054,-1.8197073797522987,-0.7781928264144543,0.9,3.591832076661254,10000
mean_q,20,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,100,0.992404744578729,0.37461638789904855,0.037461638789904855,0.930203770842068,1.05460571831539,0.8578488287288513,1.1269606604286067,0.9,3.591832076661254,10000
mean_q,20,zoo_cnn,set_transformer,zoo_cnn - set_transformer,100,2.2913548476621055,1.4666137560083794,0.14666137560083795,2.047839596685188,2.534870098639023,1.7645718143717515,2.8181378809524595,0.9,3.591832076661254,10000
crps_game_equal,20,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,7.065108169648802e-05,0.00011091080471397377,1.1091080471397377e-05,5.223554977110706e-05,8.906661362186898e-05,3.0813783094491695e-05,0.00011048838029848434,0.9,3.591832076661254,10000
crps_game_equal,20,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,-0.002014785983565402,0.0011919706115820759,0.00011919706115820758,-0.002212699729735706,-0.001816872237395098,-0.0024429218112772054,-0.001586650155853599,0.9,3.591832076661254,10000
crps_game_equal,20,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,0.0003822111102811232,0.00020181866772891498,2.0181866772891497e-05,0.00034870131717950096,0.0004157209033827454,0.00030972123383934757,0.0004547009867228988,0.9,3.591832076661254,10000
crps_game_equal,20,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,100,-0.00208543706526189,0.0011794591966756715,0.00011794591966756715,-0.002281273427166209,-0.001889600703357571,-0.002509079002835169,-0.0016617951276886108,0.9,3.591832076661254,10000
crps_game_equal,20,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,100,0.00031156002858463515,0.0002000693647876175,2.000693647876175e-05,0.00027834068819630547,0.00034477936897296484,0.00023969847238449453,0.0003834215847847758,0.9,3.591832076661254,10000
crps_game_equal,20,zoo_cnn,set_transformer,zoo_cnn - set_transformer,100,0.0023969970938465253,0.0011961792515144194,0.00011961792515144195,0.0021983845488239688,0.002595609638869082,0.001967349593343911,0.0028266445943491395,0.9,3.591832076661254,10000
coverage_game_equal,20,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,0.02153534107142029,0.005800052425415045,0.0005800052425415045,0.020572305496260886,0.022498376646579693,0.019452059636628022,0.023618622506212557,0.9,3.591832076661254,10000
coverage_game_equal,20,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,0.009112852009334396,0.02152044110173044,0.002152044110173044,0.00553961700144462,0.012686087017224172,0.0013830709440249304,0.01684263307464386,0.9,3.591832076661254,10000
coverage_game_equal,20,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,0.01170924960328298,0.010136159653257374,0.0010136159653257374,0.010026250618858501,0.01339224858770746,0.008068511265610036,0.015349987940955925,0.9,3.591832076661254,10000
coverage_game_equal,20,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,100,-0.012422489062085899,0.020814340058131455,0.0020814340058131456,-0.01587848367717106,-0.008966494447000735,-0.019898650489619082,-0.004946327634552715,0.9,3.591832076661254,10000
coverage_game_equal,20,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,100,-0.009826091468137314,0.010866070764302491,0.0010866070764302491,-0.011630284247907578,-0.00802189868836705,-0.01372900161998659,-0.005923181316288039,0.9,3.591832076661254,10000
coverage_game_equal,20,zoo_cnn,set_transformer,zoo_cnn - set_transformer,100,0.0025963975939485863,0.02142411106616022,0.002142411106616022,-0.0009608428600292301,0.006153638047926403,-0.0050987833401901755,0.010291578528087347,0.9,3.591832076661254,10000
mean_width_game_equal,20,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,5.576753407557931,0.7132112607974338,0.07132112607974338,5.458332440577952,5.695174374537909,5.320579899161107,5.832926915954754,0.9,3.591832076661254,10000
mean_width_game_equal,20,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,1.000188518309413,8.294750254707811,0.8294750254707811,-0.3770644781192398,2.3774415147380656,-1.979146484965949,3.979523521584775,0.9,3.591832076661254,10000
mean_width_game_equal,20,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,4.579302008715166,1.5031900496413932,0.15031900496413933,4.329713662291435,4.828890355138896,4.039381384953168,5.119222632477164,0.9,3.591832076661254,10000
mean_width_game_equal,20,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,100,-4.576564889248518,8.109678482179106,0.8109678482179106,-5.923088732243666,-3.23004104625337,-7.489425219618564,-1.6637045588784716,0.9,3.591832076661254,10000
mean_width_game_equal,20,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,100,-0.9974513988427646,1.3578742077940564,0.13578742077940564,-1.2229116314032473,-0.7719911662822817,-1.4851770124053325,-0.5097257852801965,0.9,3.591832076661254,10000
mean_width_game_equal,20,zoo_cnn,set_transformer,zoo_cnn - set_transformer,100,3.579113490405752,8.000401848162326,0.8000401848162326,2.250733843078681,4.907493137732823,0.70550349196481,6.4527234888466936,0.9,3.591832076661254,10000
