metric,base_metric,aggregation,n_train,model_a,model_a_display_name,model_b,model_b_display_name,mean_width_a,mean_width_b,width_mean_difference_a_minus_b,width_simultaneous_lower,width_simultaneous_upper,coverage_metric,coverage_target,coverage_lcb_a,coverage_lcb_b,coverage_qualified_a,coverage_qualified_b,both_coverage_qualified,sharper_model,sharper_model_display_name,sharper_at_controlled_coverage,sharpness_status
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,20,ridge_sgd_l2,L2 one-vs-rest logistic,lightgbm_multiclass,LightGBM,22.656402714920443,17.079649307362516,5.576753407557931,5.320579899161107,5.832926915954754,coverage_game_equal,0.9,0.9357686735459148,0.914379944276055,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,20,ridge_sgd_l2,L2 one-vs-rest logistic,zoo_cnn,Zoo CNN,22.656402714920443,21.656214196611028,1.0001885183094135,-1.9791464849659486,3.9795235215847757,coverage_game_equal,0.9,0.9357686735459148,0.9229849890142128,True,True,True,,,False,inconclusive_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,20,ridge_sgd_l2,L2 one-vs-rest logistic,set_transformer,Set Transformer,22.656402714920443,18.077100706205275,4.579302008715166,4.039381384953168,5.119222632477164,coverage_game_equal,0.9,0.9357686735459148,0.9228073374650219,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,20,lightgbm_multiclass,LightGBM,zoo_cnn,Zoo CNN,17.079649307362516,21.656214196611028,-4.576564889248517,-7.489425219618564,-1.6637045588784698,coverage_game_equal,0.9,0.914379944276055,0.9229849890142128,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,20,lightgbm_multiclass,LightGBM,set_transformer,Set Transformer,17.079649307362516,18.077100706205275,-0.9974513988427646,-1.4851770124053325,-0.5097257852801965,coverage_game_equal,0.9,0.914379944276055,0.9228073374650219,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,20,zoo_cnn,Zoo CNN,set_transformer,Set Transformer,21.656214196611028,18.077100706205275,3.579113490405752,0.70550349196481,6.4527234888466936,coverage_game_equal,0.9,0.9229849890142128,0.9228073374650219,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width,mean_width,play,40,ridge_sgd_l2,L2 one-vs-rest logistic,lightgbm_multiclass,LightGBM,21.71064468787868,15.01899107609301,6.691653611785667,6.459754971835809,6.923552251735525,coverage,0.9,0.9367476792938514,0.9138029789320031,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width,mean_width,play,40,ridge_sgd_l2,L2 one-vs-rest logistic,zoo_cnn,Zoo CNN,21.71064468787868,18.090440659374373,3.6202040285043076,2.3754886867579037,4.864919370250711,coverage,0.9,0.9367476792938514,0.9188423985679605,True,True,True,zoo_cnn,Zoo CNN,True,sharper_at_controlled_coverage
mean_width,mean_width,play,40,ridge_sgd_l2,L2 one-vs-rest logistic,set_transformer,Set Transformer,21.71064468787868,15.75379159988268,5.956853087996,5.632253849364673,6.281452326627328,coverage,0.9,0.9367476792938514,0.918503023166755,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width,mean_width,play,40,lightgbm_multiclass,LightGBM,zoo_cnn,Zoo CNN,15.01899107609301,18.090440659374373,-3.0714495832813604,-4.3261201482526115,-1.816779018310109,coverage,0.9,0.9138029789320031,0.9188423985679605,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width,mean_width,play,40,lightgbm_multiclass,LightGBM,set_transformer,Set Transformer,15.01899107609301,15.75379159988268,-0.7348005237896668,-1.0215015989994345,-0.44809944857989903,coverage,0.9,0.9138029789320031,0.918503023166755,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width,mean_width,play,40,zoo_cnn,Zoo CNN,set_transformer,Set Transformer,18.090440659374373,15.75379159988268,2.3366490594916947,1.0747466011217193,3.59855151786167,coverage,0.9,0.9188423985679605,0.918503023166755,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width_inclusive,mean_width_inclusive,play,40,ridge_sgd_l2,L2 one-vs-rest logistic,lightgbm_multiclass,LightGBM,22.71064468787868,16.01899107609301,6.691653611785667,6.459754971835809,6.923552251735525,coverage,0.9,0.9367476792938514,0.9138029789320031,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive,mean_width_inclusive,play,40,ridge_sgd_l2,L2 one-vs-rest logistic,zoo_cnn,Zoo CNN,22.71064468787868,19.090440659374373,3.6202040285043076,2.375488686757904,4.8649193702507105,coverage,0.9,0.9367476792938514,0.9188423985679605,True,True,True,zoo_cnn,Zoo CNN,True,sharper_at_controlled_coverage
mean_width_inclusive,mean_width_inclusive,play,40,ridge_sgd_l2,L2 one-vs-rest logistic,set_transformer,Set Transformer,22.71064468787868,16.753791599882682,5.956853087996,5.632253849364673,6.281452326627328,coverage,0.9,0.9367476792938514,0.918503023166755,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width_inclusive,mean_width_inclusive,play,40,lightgbm_multiclass,LightGBM,zoo_cnn,Zoo CNN,16.01899107609301,19.090440659374373,-3.0714495832813604,-4.3261201482526115,-1.816779018310109,coverage,0.9,0.9138029789320031,0.9188423985679605,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive,mean_width_inclusive,play,40,lightgbm_multiclass,LightGBM,set_transformer,Set Transformer,16.01899107609301,16.753791599882682,-0.7348005237896666,-1.0215015989994343,-0.448099448579899,coverage,0.9,0.9138029789320031,0.918503023166755,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive,mean_width_inclusive,play,40,zoo_cnn,Zoo CNN,set_transformer,Set Transformer,19.090440659374373,16.753791599882682,2.3366490594916947,1.0747466011217193,3.59855151786167,coverage,0.9,0.9188423985679605,0.918503023166755,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width_game_equal,mean_width,game_equal,40,ridge_sgd_l2,L2 one-vs-rest logistic,lightgbm_multiclass,LightGBM,21.65642785811178,15.043029427806095,6.613398430305677,6.3811209509463795,6.845675909664975,coverage_game_equal,0.9,0.9364205586759163,0.9142139606062651,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_game_equal,mean_width,game_equal,40,ridge_sgd_l2,L2 one-vs-rest logistic,zoo_cnn,Zoo CNN,21.65642785811178,18.115114575626773,3.541313282485005,2.297995889338157,4.784630675631853,coverage_game_equal,0.9,0.9364205586759163,0.919045846579235,True,True,True,zoo_cnn,Zoo CNN,True,sharper_at_controlled_coverage
mean_width_game_equal,mean_width,game_equal,40,ridge_sgd_l2,L2 one-vs-rest logistic,set_transformer,Set Transformer,21.65642785811178,15.75967627026762,5.896751587844156,5.572605711196648,6.220897464491664,coverage_game_equal,0.9,0.9364205586759163,0.9185091712694907,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width_game_equal,mean_width,game_equal,40,lightgbm_multiclass,LightGBM,zoo_cnn,Zoo CNN,15.043029427806095,18.115114575626773,-3.072085147820672,-4.327435625324755,-1.816734670316589,coverage_game_equal,0.9,0.9142139606062651,0.919045846579235,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_game_equal,mean_width,game_equal,40,lightgbm_multiclass,LightGBM,set_transformer,Set Transformer,15.043029427806095,15.75967627026762,-0.7166468424615231,-1.0027468331755507,-0.4305468517474956,coverage_game_equal,0.9,0.9142139606062651,0.9185091712694907,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_game_equal,mean_width,game_equal,40,zoo_cnn,Zoo CNN,set_transformer,Set Transformer,18.115114575626773,15.75967627026762,2.3554383053591494,1.0940385635472227,3.6168380471710764,coverage_game_equal,0.9,0.919045846579235,0.9185091712694907,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,40,ridge_sgd_l2,L2 one-vs-rest logistic,lightgbm_multiclass,LightGBM,22.65642785811178,16.043029427806097,6.613398430305677,6.3811209509463795,6.845675909664975,coverage_game_equal,0.9,0.9364205586759163,0.9142139606062651,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,40,ridge_sgd_l2,L2 one-vs-rest logistic,zoo_cnn,Zoo CNN,22.65642785811178,19.115114575626773,3.541313282485005,2.297995889338157,4.784630675631853,coverage_game_equal,0.9,0.9364205586759163,0.919045846579235,True,True,True,zoo_cnn,Zoo CNN,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,40,ridge_sgd_l2,L2 one-vs-rest logistic,set_transformer,Set Transformer,22.65642785811178,16.759676270267622,5.896751587844156,5.572605711196648,6.220897464491664,coverage_game_equal,0.9,0.9364205586759163,0.9185091712694907,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
