metric,model,n_train,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws,fixed_mean,tuned_mean,relative_change,significant_shift
crps_game_equal,ridge_sgd_l2,360,tuned - fixed,20,-0.00031965345720386866,1.9462742879019135e-05,4.352001610608675e-06,-0.00032876230125969614,-0.0003105446131480412,-0.0003552255157224471,-0.00028408139868529023,0.95,8.173723656688466,10000,0.014145381025435578,0.013825727568231711,-0.022597726892551174,True
coverage_game_equal,ridge_sgd_l2,360,tuned - fixed,20,-0.00943300773137159,0.0021833190998931107,0.00048820499239346493,-0.010454832523933316,-0.008411182938809865,-0.013423460427011466,-0.0054425550357317136,0.95,8.173723656688466,10000,0.9378676905988004,0.9284346828674288,-0.010057930160008922,True
mean_width_game_equal,ridge_sgd_l2,360,tuned - fixed,20,-2.860791464035123,0.16791707550264187,0.037547399540687185,-2.939379074454259,-2.782203853615987,-3.1676935319079718,-2.5538893961622744,0.95,8.173723656688466,10000,21.520628424027414,18.65983695999229,-0.13293252444436512,True
mean_width_inclusive_game_equal,ridge_sgd_l2,360,tuned - fixed,20,-2.860791464035123,0.16791707550264207,0.03754739954068723,-2.9393790744542594,-2.7822038536159868,-3.1676935319079718,-2.5538893961622744,0.95,8.173723656688466,10000,22.520628424027414,19.65983695999229,-0.12702982395388776,True
crps,set_transformer,360,tuned - fixed,20,-0.00010279639663639323,8.596858552674009e-05,1.922316011672954e-05,-0.0001430309331624497,-6.256186011033675e-05,-0.00025992119523881565,5.4328401966029214e-05,0.95,8.173723656688466,10000,0.012488072924480313,0.012385276527843918,-0.008231566011668775,False
coverage,set_transformer,360,tuned - fixed,20,0.0034212455212236812,0.006441089373924289,0.001440271368924627,0.00040672290118891905,0.006435768141258444,-0.008351134639006625,0.015193625681453986,0.95,8.173723656688466,10000,0.925269208522346,0.9286904540435698,0.0036975676805320336,False
mean_width,set_transformer,360,tuned - fixed,20,-0.056626451397448284,0.6930884458312644,0.15497928792983878,-0.381001828969665,0.2677489261747685,-1.323384323446305,1.2101314206514082,0.95,8.173723656688466,10000,14.35644669884999,14.29982024745254,-0.003944322197914355,False
mean_width_inclusive,set_transformer,360,tuned - fixed,20,-0.056626451397448374,0.6930884458312643,0.15497928792983875,-0.38100182896966506,0.2677489261747683,-1.3233843234463047,1.210131420651408,0.95,8.173723656688466,10000,15.35644669884999,15.29982024745254,-0.0036874709695498115,False
mean_q,set_transformer,360,tuned - fixed,20,-0.026482834898488544,0.08927170003102998,0.01996175897363531,-0.06826327659860726,0.015297606801630163,-0.18964473645040475,0.13667906665342766,0.95,8.173723656688466,10000,0.08967395031872892,0.06319111542024038,-0.29532361186677253,False
crps_game_equal,set_transformer,360,tuned - fixed,20,-0.00010164798563505077,8.973781876190392e-05,2.0065986290417317e-05,-0.00014364657761632065,-5.96493936537809e-05,-0.0002656618124718212,6.236584120171968e-05,0.95,8.173723656688466,10000,0.012447953556599268,0.012346305570964217,-0.008165839081329333,False
coverage_game_equal,set_transformer,360,tuned - fixed,20,0.003241189194370353,0.006571889338060269,0.0014695191300508857,0.00016545030676074456,0.006316928081979961,-0.008770254082882825,0.015252632471623532,0.95,8.173723656688466,10000,0.9254844331838104,0.9287256223781807,0.0035021541996337617,False
mean_width_game_equal,set_transformer,360,tuned - fixed,20,-0.05827701016098965,0.695079236974132,0.15542444236228442,-0.38358410666824155,0.2670300863462623,-1.328673451525207,1.2121194312032275,0.95,8.173723656688466,10000,14.374696433815924,14.316419423654935,-0.0040541384946324996,False
mean_width_inclusive_game_equal,set_transformer,360,tuned - fixed,20,-0.05827701016098956,0.6950792369741324,0.15542444236228453,-0.3835841066682417,0.2670300863462626,-1.3286734515252077,1.2121194312032286,0.95,8.173723656688466,10000,15.374696433815924,15.316419423654935,-0.0037904494837902626,False
crps,zoo_cnn,360,tuned - fixed,20,-0.0001718016284916836,0.0002864071203533736,6.40425790350107e-05,-0.00030584428691830335,-3.775897006506388e-05,-0.0006952679717854913,0.0003516647148021242,0.95,8.173723656688466,10000,0.01302561293489658,0.012853811306404894,-0.013189523544908535,False
coverage,zoo_cnn,360,tuned - fixed,20,0.0005219936278696824,0.00531713781883993,0.0011889481608661045,-0.00196650347226754,0.003010490728006904,-0.00919614008117784,0.010240127336917204,0.95,8.173723656688466,10000,0.9186418630944726,0.9191638567223421,0.0005682232095447199,False
mean_width,zoo_cnn,360,tuned - fixed,20,-0.0605443170638301,0.3027354626189495,0.06769370736158176,-0.20222887490369443,0.08114024077603424,-0.6138539743341371,0.4927653402064769,0.95,8.173723656688466,10000,13.937081155146803,13.876536838082973,-0.004344117422425411,False
