task_id,metric,n_train,model_left,model_right,mean_difference,standard_error,simultaneous_lower,simultaneous_upper,confidence_level,max_t_critical,bootstrap_draws,bootstrap_unit,bootstrap_index_sha256,family_contrasts
bdb2022_punt_returns,primary_loss,10,linear_structure,boosted_structure,0.006097038166464589,0.00039748971547016673,0.003721402148949617,0.00847267418397956,0.9,5.976597444049526,10000,complete_repeat_5x6_vector,663668e53153c4dda1d4c7f60117df3a4e2c95f32c6f8ea784f0b2dd97bf4b4f,60
bdb2022_punt_returns,primary_loss,10,linear_structure,relnet,0.008354657116011825,0.00047747715455500944,0.005500968374506315,0.011208345857517335,0.9,5.976597444049526,10000,complete_repeat_5x6_vector,663668e53153c4dda1d4c7f60117df3a4e2c95f32c6f8ea784f0b2dd97bf4b4f,60
bdb2022_punt_returns,primary_loss,10,linear_structure,attn_relnet,0.008345796093112924,0.00047752338763515785,0.0054918310350987685,0.01119976115112708,0.9,5.976597444049526,10000,complete_repeat_5x6_vector,663668e53153c4dda1d4c7f60117df3a4e2c95f32c6f8ea784f0b2dd97bf4b4f,60
bdb2022_punt_returns,primary_loss,10,linear_structure,set_transformer,0.007594574976479088,0.0005222677902317847,0.00447319063627041,0.010715959316687767,0.9,5.976597444049526,10000,complete_repeat_5x6_vector,663668e53153c4dda1d4c7f60117df3a4e2c95f32c6f8ea784f0b2dd97bf4b4f,60
bdb2022_punt_returns,primary_loss,10,boosted_structure,relnet,0.002257618949547234,0.0005200200196999597,-0.0008503313710461293,0.005365569270140598,0.9,5.976597444049526,10000,complete_repeat_5x6_vector,663668e53153c4dda1d4c7f60117df3a4e2c95f32c6f8ea784f0b2dd97bf4b4f,60
bdb2022_punt_returns,primary_loss,10,boosted_structure,attn_relnet,0.002248757926648334,0.000519975795849314,-0.000858928085792294,0.005356443939088962,0.9,5.976597444049526,10000,complete_repeat_5x6_vector,663668e53153c4dda1d4c7f60117df3a4e2c95f32c6f8ea784f0b2dd97bf4b4f,60
bdb2022_punt_returns,primary_loss,10,boosted_structure,set_transformer,0.0014975368100144965,0.0005628061802928949,-0.0018661291686192956,0.004861202788648288,0.9,5.976597444049526,10000,complete_repeat_5x6_vector,663668e53153c4dda1d4c7f60117df3a4e2c95f32c6f8ea784f0b2dd97bf4b4f,60
bdb2022_punt_returns,primary_loss,10,relnet,attn_relnet,-8.861022898899658e-06,3.115781855857525e-06,-2.748279677483363e-05,9.760750977034315e-06,0.9,5.976597444049526,10000,complete_repeat_5x6_vector,663668e53153c4dda1d4c7f60117df3a4e2c95f32c6f8ea784f0b2dd97bf4b4f,60
bdb2022_punt_returns,primary_loss,10,relnet,set_transformer,-0.000760082139532737,0.00013433200925797354,-0.001562930482717979,4.276620365250498e-05,0.9,5.976597444049526,10000,complete_repeat_5x6_vector,663668e53153c4dda1d4c7f60117df3a4e2c95f32c6f8ea784f0b2dd97bf4b4f,60
bdb2022_punt_returns,primary_loss,10,attn_relnet,set_transformer,-0.0007512211166338372,0.000135548161443643,-0.0015613379118635264,5.8895678595852034e-05,0.9,5.976597444049526,10000,complete_repeat_5x6_vector,663668e53153c4dda1d4c7f60117df3a4e2c95f32c6f8ea784f0b2dd97bf4b4f,60
bdb2022_punt_returns,primary_loss,20,linear_structure,boosted_structure,0.006843659806043817,0.0003311144903058666,0.004864721789594013,0.00882259782249362,0.9,5.976597444049526,10000,complete_repeat_5x6_vector,663668e53153c4dda1d4c7f60117df3a4e2c95f32c6f8ea784f0b2dd97bf4b4f,60
bdb2022_punt_returns,primary_loss,20,linear_structure,relnet,0.009321450206852364,0.0003811477303299981,0.007043483655956819,0.011599416757747907,0.9,5.976597444049526,10000,complete_repeat_5x6_vector,663668e53153c4dda1d4c7f60117df3a4e2c95f32c6f8ea784f0b2dd97bf4b4f,60
bdb2022_punt_returns,primary_loss,20,linear_structure,attn_relnet,0.009320713823294057,0.0003810530997768644,0.007043312841120501,0.011598114805467614,0.9,5.976597444049526,10000,complete_repeat_5x6_vector,663668e53153c4dda1d4c7f60117df3a4e2c95f32c6f8ea784f0b2dd97bf4b4f,60
bdb2022_punt_returns,primary_loss,20,linear_structure,set_transformer,0.008289136493784342,0.000418009342406123,0.005790862926371085,0.0107874100611976,0.9,5.976597444049526,10000,complete_repeat_5x6_vector,663668e53153c4dda1d4c7f60117df3a4e2c95f32c6f8ea784f0b2dd97bf4b4f,60
bdb2022_punt_returns,primary_loss,20,boosted_structure,relnet,0.002477790400808547,0.00035242545092871203,0.00037148535157000527,0.004584095450047089,0.9,5.976597444049526,10000,complete_repeat_5x6_vector,663668e53153c4dda1d4c7f60117df3a4e2c95f32c6f8ea784f0b2dd97bf4b4f,60
bdb2022_punt_returns,primary_loss,20,boosted_structure,attn_relnet,0.002477054017250241,0.00035234437031989496,0.0003712335541711169,0.0045828744803293655,0.9,5.976597444049526,10000,complete_repeat_5x6_vector,663668e53153c4dda1d4c7f60117df3a4e2c95f32c6f8ea784f0b2dd97bf4b4f,60
bdb2022_punt_returns,primary_loss,20,boosted_structure,set_transformer,0.0014454766877405253,0.00037045538051339196,-0.0007685859925702075,0.003659539368051258,0.9,5.976597444049526,10000,complete_repeat_5x6_vector,663668e53153c4dda1d4c7f60117df3a4e2c95f32c6f8ea784f0b2dd97bf4b4f,60
