task_id,model,metric,from_n_train,to_n_train,definition,repeats,change_mean,change_sd,change_mcse,change_median,change_q10,change_q25,change_q75,change_q90,change_iqr
bdb2023_sack,attn_relnet,calibrated_brier,20,60,value_at_largest_minus_value_at_20,100,-0.00011830178332384117,0.0005917611167732465,5.9176111677324646e-05,-7.247499226546023e-05,-0.0007714338586373201,-0.0004899046065167216,0.00021412741523724188,0.0005318039712394241,0.0007040320217539635
bdb2023_sack,boosted_structure,calibrated_brier,20,60,value_at_largest_minus_value_at_20,100,-2.7692130722593508e-05,0.0006420206726736574,6.420206726736574e-05,3.097103907453991e-05,-0.0007411339768942544,-0.0003309059691984778,0.00029964065738358886,0.0006358874163653247,0.0006305466265820667
bdb2023_sack,linear_structure,calibrated_brier,20,60,value_at_largest_minus_value_at_20,100,2.546479078359143e-06,0.0008435196519278602,8.435196519278601e-05,-7.12065601070587e-05,-0.0008301710426320579,-0.00045741654588360436,0.0003610754569298505,0.0009056429497436274,0.0008184920028134549
bdb2023_sack,relnet,calibrated_brier,20,60,value_at_largest_minus_value_at_20,100,-9.59968315374335e-05,0.0006018310965968336,6.0183109659683355e-05,-7.640778751561925e-05,-0.0007668566001785962,-0.00040685539376343616,0.0002557010634480963,0.0005845704392873204,0.0006625564572115324
bdb2023_sack,set_transformer,calibrated_brier,20,60,value_at_largest_minus_value_at_20,100,-0.00010325100220573965,0.0008319222311202241,8.319222311202241e-05,-4.342695937165769e-05,-0.0011406159255060264,-0.0005996741901040433,0.0003206332063441647,0.0005740098252133536,0.000920307396448208
bdb2023_sack,attn_relnet,calibrated_log_loss,20,60,value_at_largest_minus_value_at_20,100,-0.0010869420670607446,0.0029238768982542585,0.00029238768982542586,-0.0013313270416929757,-0.00445830546463766,-0.0030024971221438365,0.0007235404362480671,0.002344315619159054,0.0037260375583919036
bdb2023_sack,boosted_structure,calibrated_log_loss,20,60,value_at_largest_minus_value_at_20,100,-0.00045306659918219693,0.0028498647250576967,0.0002849864725057697,-0.0003569633524330429,-0.0034215339903682805,-0.0017710446592959922,0.0011163692062377342,0.0032861556319138097,0.0028874138655337264
bdb2023_sack,linear_structure,calibrated_log_loss,20,60,value_at_largest_minus_value_at_20,100,-0.0005970852441825208,0.0031245652436636237,0.00031245652436636236,-0.0005412630001063873,-0.004270534091199718,-0.0021462413939652217,0.0008939163413059503,0.003021826792347496,0.003040157735271172
bdb2023_sack,relnet,calibrated_log_loss,20,60,value_at_largest_minus_value_at_20,100,-0.0010033116016863932,0.0029045955032195835,0.0002904595503219583,-0.001177536556810424,-0.00420265766370598,-0.0027579833904516696,0.0009738228694472773,0.002204047812895788,0.003731806259898947
bdb2023_sack,set_transformer,calibrated_log_loss,20,60,value_at_largest_minus_value_at_20,100,-0.0012718375520599028,0.0036439211640388034,0.00036439211640388035,-0.0011327068068709145,-0.005710111049439523,-0.003792731113194378,0.0007749916627434322,0.002909009798999479,0.00456772277593781
bdb2023_sack,attn_relnet,calibration_bias,20,60,value_at_largest_minus_value_at_20,100,-0.0003242954906980462,0.0025651199412446645,0.00025651199412446646,-0.00032358302708766946,-0.0038922099225436706,-0.0018445776877766705,0.0014077436972808359,0.002487325953206905,0.0032523213850575066
bdb2023_sack,boosted_structure,calibration_bias,20,60,value_at_largest_minus_value_at_20,100,-0.00025309944196275644,0.0020987633053372204,0.00020987633053372204,-0.00044462786905780777,-0.00306253535400638,-0.0017970829091347507,0.0012295687749692894,0.002319549294053544,0.00302665168410404
