task_id,metric,n_train,model_left,model_right,sd_left,sd_right,log_sd_ratio,sd_ratio,bca_log_lower,bca_log_upper,bca_ratio_lower,bca_ratio_upper,confidence_level,interval_method,bias_correction,acceleration,adjusted_lower_quantile,adjusted_upper_quantile,bootstrap_zero_sd_draws,jackknife_zero_sd_values,regularized,sd_regularization_floor,repeats,bootstrap_draws,bootstrap_unit,jackknife_unit,bootstrap_index_sha256
bdb2023_sack,primary_loss,10,linear_structure,boosted_structure,0.005060174885047497,0.005472531921482392,-0.07834033850465029,0.9246496790971305,-0.1116094782023204,-0.0407958449021468,0.8943934694540032,0.9600251039616121,0.95,BCa,0.017547298372150796,-0.004339587440553305,0.026105994330284377,0.9760487747117881,0,0,False,1e-12,100,10000,complete_repeat_5x6_vector,delete_one_complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f
bdb2023_sack,primary_loss,10,linear_structure,relnet,0.005060174885047497,0.004972736086452317,0.017430835923755245,1.0175836394843871,-0.048452143769652345,0.0718122343083851,0.9527029309858214,1.0744535796027024,0.95,BCa,-0.009776005984788104,-0.021955646950565094,0.019294087393799064,0.9685811469876432,0,0,False,1e-12,100,10000,complete_repeat_5x6_vector,delete_one_complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f
bdb2023_sack,primary_loss,10,linear_structure,attn_relnet,0.005060174885047497,0.0049789445235622395,0.016183119450798134,1.0163147753707327,-0.05019169608222855,0.07065298079077441,0.9510470950232183,1.0732087371944177,0.95,BCa,-0.010528033237178321,-0.021662302122390974,0.019278595255637243,0.9685515951543432,0,0,False,1e-12,100,10000,complete_repeat_5x6_vector,delete_one_complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f
bdb2023_sack,primary_loss,10,linear_structure,set_transformer,0.005060174885047497,0.005027464018725658,0.006485359217367303,1.0065064346955048,-0.0837166253016982,0.08014266958670781,0.9196918365691428,1.0834416308186574,0.95,BCa,-0.013786892263084284,-0.003801473651375174,0.0226176889236116,0.9724506728141955,0,0,False,1e-12,100,10000,complete_repeat_5x6_vector,delete_one_complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f
bdb2023_sack,primary_loss,10,boosted_structure,relnet,0.005472531921482392,0.004972736086452317,0.09577117442840553,1.1005072109882756,0.03313016769470973,0.14489438074100305,1.0336850828887927,1.1559174766730698,0.95,BCa,-0.018800819591187675,-0.015538125458772643,0.01968325137269661,0.9689462266328162,0,0,False,1e-12,100,10000,complete_repeat_5x6_vector,delete_one_complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f
bdb2023_sack,primary_loss,10,boosted_structure,attn_relnet,0.005472531921482392,0.0049789445235622395,0.09452345795544836,1.0991349462891806,0.03162747938642988,0.14374411849010332,1.032132942883682,1.1545886328404629,0.95,BCa,-0.016293804724859258,-0.014753502778705208,0.020089530556921475,0.9694791681654291,0,0,False,1e-12,100,10000,complete_repeat_5x6_vector,delete_one_complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f
bdb2023_sack,primary_loss,10,boosted_structure,set_transformer,0.005472531921482392,0.005027464018725658,0.08482569772201766,1.0885273173709453,-0.005551482306434598,0.1613257843295797,0.9944638986958482,1.1750677251135209,0.95,BCa,-0.014789645968119597,0.004050145584352998,0.024198010972699913,0.974162474066373,0,0,False,1e-12,100,10000,complete_repeat_5x6_vector,delete_one_complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f
bdb2023_sack,primary_loss,10,relnet,attn_relnet,0.004972736086452317,0.0049789445235622395,-0.0012477164729571637,0.9987530616016022,-0.005576771620659557,0.0002538805712603135,0.9944387497038304,1.00025391280166,0.95,BCa,-0.12161996636704842,-0.0833225262300799,0.004145317849791885,0.929562192036576,0,0,False,1e-12,100,10000,complete_repeat_5x6_vector,delete_one_complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f
bdb2023_sack,primary_loss,10,relnet,set_transformer,0.004972736086452317,0.005027464018725658,-0.010945476706387939,0.9891142070695091,-0.10332809693024815,0.0700247738035616,0.9018310369414131,1.0725347516903412,0.95,BCa,-0.011029388020359056,-0.00624320262872603,0.022397275149074247,0.9722203464130913,0,0,False,1e-12,100,10000,complete_repeat_5x6_vector,delete_one_complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f
bdb2023_sack,primary_loss,10,attn_relnet,set_transformer,0.0049789445235622395,0.005027464018725658,-0.009697760233430717,0.9903491114043385,-0.10139592649457468,0.07085381977114333,0.9035752126887457,1.0734243009890005,0.95,BCa,-0.008271967640830305,-0.006077444230587145,0.02273195997298122,0.9726052514570956,0,0,False,1e-12,100,10000,complete_repeat_5x6_vector,delete_one_complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f
