task_id,model,n_train,metric,repeats,mean,ribbon_lower,ribbon_upper,ribbon_definition,inferential_interval
bdb2023_sack,attn_relnet,10,calibrated_brier,100,0.061717186908483254,0.055795676926726136,0.06779364431803821,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,20,calibrated_brier,100,0.061693481890662205,0.05538995043559114,0.06746708981730541,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,30,calibrated_brier,100,0.061631001052621925,0.055459806088242865,0.0673248821526265,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,40,calibrated_brier,100,0.06158098206017083,0.05500345545643904,0.06750960179235733,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,50,calibrated_brier,100,0.06153116766904424,0.054849347888004364,0.0672911882135335,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,60,calibrated_brier,100,0.061575180107338354,0.055306580465288795,0.06759223058408195,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,10,calibrated_brier,100,0.06170511812857684,0.0558133187032308,0.06730794874166701,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,20,calibrated_brier,100,0.06176047369177602,0.05574261337344486,0.0676136185766051,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,30,calibrated_brier,100,0.06166066235406178,0.05564973012797293,0.06765141315106486,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,40,calibrated_brier,100,0.061766507738979806,0.05571428623939008,0.06787462234653908,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,50,calibrated_brier,100,0.061735236131547945,0.05562917216796928,0.06769480841291513,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,60,calibrated_brier,100,0.06173278156105343,0.055651983981923905,0.06801381802905096,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,10,calibrated_brier,100,0.06171052801959412,0.05558546547252909,0.06781529660071318,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,20,calibrated_brier,100,0.061777090200354046,0.05578384454863173,0.06760893956873966,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,30,calibrated_brier,100,0.06178411019338517,0.055551332551257895,0.06789954296269805,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,40,calibrated_brier,100,0.061786128845684504,0.05556561036481037,0.06773839989009786,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,50,calibrated_brier,100,0.06173485045450715,0.055472350667483676,0.0676206490617837,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,60,calibrated_brier,100,0.0617796366794324,0.055735478256304156,0.06746075202538862,between_repeat_q10_q90,False
bdb2023_sack,relnet,10,calibrated_brier,100,0.061721192610863264,0.05582150564615663,0.06779757919287213,between_repeat_q10_q90,False
bdb2023_sack,relnet,20,calibrated_brier,100,0.06168268611501058,0.05540498264302482,0.06747720071642613,between_repeat_q10_q90,False
bdb2023_sack,relnet,30,calibrated_brier,100,0.061642052609572236,0.055436625707224546,0.06732114744392421,between_repeat_q10_q90,False
bdb2023_sack,relnet,40,calibrated_brier,100,0.06157467885427275,0.05509108337931245,0.06744750835030273,between_repeat_q10_q90,False
bdb2023_sack,relnet,50,calibrated_brier,100,0.06154284442712827,0.05483253508111063,0.06729840918979195,between_repeat_q10_q90,False
bdb2023_sack,relnet,60,calibrated_brier,100,0.06158668928347314,0.0553492692021565,0.06761268455285215,between_repeat_q10_q90,False
bdb2023_sack,set_transformer,10,calibrated_brier,100,0.06173788379026284,0.055404261231960975,0.06771803139815144,between_repeat_q10_q90,False
bdb2023_sack,set_transformer,20,calibrated_brier,100,0.06167932648410014,0.05567459030591541,0.06727416477825104,between_repeat_q10_q90,False
bdb2023_sack,set_transformer,30,calibrated_brier,100,0.06172755726755216,0.05538266208082254,0.06728199846566064,between_repeat_q10_q90,False
bdb2023_sack,set_transformer,40,calibrated_brier,100,0.06166563748843614,0.055116457182958684,0.06731790431797546,between_repeat_q10_q90,False
bdb2023_sack,set_transformer,50,calibrated_brier,100,0.06146621411319085,0.05515420647327262,0.0670000241176496,between_repeat_q10_q90,False
bdb2023_sack,set_transformer,60,calibrated_brier,100,0.06157607548189439,0.05544682057162815,0.06742396670671415,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,10,calibrated_log_loss,100,0.24386050066925738,0.22591401119356241,0.2622427713960963,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,20,calibrated_log_loss,100,0.24384720239937058,0.22487920397089076,0.2603659134638669,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,30,calibrated_log_loss,100,0.24314676579979583,0.22453727055373154,0.2606570199472633,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,40,calibrated_log_loss,100,0.24284679890271524,0.2228558722534193,0.26058195131902157,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,50,calibrated_log_loss,100,0.24260596331566905,0.22280496116803936,0.2600581248424095,between_repeat_q10_q90,False
bdb2023_sack,attn_relnet,60,calibrated_log_loss,100,0.2427602603323098,0.22450090567166034,0.25970053094617945,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,10,calibrated_log_loss,100,0.2438769328372919,0.2256491371496009,0.2618857154102562,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,20,calibrated_log_loss,100,0.24416797944343707,0.2258782484957926,0.26303220865627713,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,30,calibrated_log_loss,100,0.24367825520994668,0.22589926448680475,0.26358426538543933,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,40,calibrated_log_loss,100,0.24382937586290165,0.22558250631407217,0.26182718473100436,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,50,calibrated_log_loss,100,0.24364804613496968,0.2252991855981535,0.26201022076330105,between_repeat_q10_q90,False
bdb2023_sack,boosted_structure,60,calibrated_log_loss,100,0.2437149128442549,0.22598480714664088,0.26273980463337754,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,10,calibrated_log_loss,100,0.24376718676177384,0.22502274236459943,0.2618963800465423,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,20,calibrated_log_loss,100,0.24382651474748776,0.22488736316196092,0.26125483248444825,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,30,calibrated_log_loss,100,0.24369237384161618,0.22474407560702483,0.2617683196183183,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,40,calibrated_log_loss,100,0.24358344542903113,0.22380642998549352,0.261926129473976,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,50,calibrated_log_loss,100,0.2432556743007633,0.2243897717039175,0.2611303363243436,between_repeat_q10_q90,False
bdb2023_sack,linear_structure,60,calibrated_log_loss,100,0.24322942950330528,0.22469247553314844,0.2605597711815017,between_repeat_q10_q90,False
bdb2023_sack,relnet,10,calibrated_log_loss,100,0.24390431971553372,0.2262593509949446,0.26227584994242803,between_repeat_q10_q90,False
bdb2023_sack,relnet,20,calibrated_log_loss,100,0.24382016448454266,0.22488700582909332,0.2602517569808971,between_repeat_q10_q90,False
bdb2023_sack,relnet,30,calibrated_log_loss,100,0.24319668914295864,0.22447636442021449,0.2606259427024301,between_repeat_q10_q90,False
bdb2023_sack,relnet,40,calibrated_log_loss,100,0.2428042255269181,0.2226544442199978,0.26005873479824126,between_repeat_q10_q90,False
bdb2023_sack,relnet,50,calibrated_log_loss,100,0.2426561100814585,0.22291994962335526,0.26001158926286744,between_repeat_q10_q90,False
bdb2023_sack,relnet,60,calibrated_log_loss,100,0.24281685288285618,0.22466800106252374,0.26048803398041137,between_repeat_q10_q90,False
bdb2023_sack,set_transformer,10,calibrated_log_loss,100,0.24387137707609605,0.2251582527450841,0.26231376277815477,between_repeat_q10_q90,False
bdb2023_sack,set_transformer,20,calibrated_log_loss,100,0.2435135057932363,0.22558450007528896,0.26040920726205113,between_repeat_q10_q90,False
