task_id,metric,n_train,model_left,model_right,mean_difference,standard_error,simultaneous_lower,simultaneous_upper,confidence_level,max_t_critical,bootstrap_draws,bootstrap_unit,bootstrap_index_sha256,family_contrasts
bdb2023_sack,primary_loss,20,relnet,set_transformer,-0.001014503302644072,0.0004981511402284856,-0.016732035944477062,0.014703029339188916,0.95,31.551734749867027,10000,complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f,60
bdb2023_sack,primary_loss,20,attn_relnet,set_transformer,-0.000670058849473473,0.000580059801648366,-0.018971951850143196,0.017631834151196252,0.95,31.551734749867027,10000,complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f,60
bdb2023_sack,primary_loss,30,linear_structure,boosted_structure,-0.0019721665188631846,7.918833601421195e-05,-0.004470695892066943,0.0005263628543405734,0.95,31.551734749867027,10000,complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f,60
bdb2023_sack,primary_loss,30,linear_structure,relnet,-0.00030969334328737026,0.00010697606741436665,-0.0036849738469293602,0.00306558716035462,0.95,31.551734749867027,10000,complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f,60
bdb2023_sack,primary_loss,30,linear_structure,attn_relnet,-0.00031582851153485846,0.00010881574597647972,-0.0037491540651936567,0.0031174970421239396,0.95,31.551734749867027,10000,complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f,60
bdb2023_sack,primary_loss,30,linear_structure,set_transformer,-0.00036247899732284796,0.00012470335418071342,-0.004297086150851439,0.0035721281562057436,0.95,31.551734749867027,10000,complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f,60
bdb2023_sack,primary_loss,30,boosted_structure,relnet,0.0016624731755758148,0.0001205612013225371,-0.002141441869678194,0.005466388220829823,0.95,31.551734749867027,10000,complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f,60
bdb2023_sack,primary_loss,30,boosted_structure,attn_relnet,0.0016563380073283264,0.00012196219579072289,-0.002191780843771911,0.005504456858428564,0.95,31.551734749867027,10000,complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f,60
bdb2023_sack,primary_loss,30,boosted_structure,set_transformer,0.0016096875215403366,0.00013672738350083572,-0.0027042986157213775,0.00592367365880205,0.95,31.551734749867027,10000,complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f,60
bdb2023_sack,primary_loss,30,relnet,attn_relnet,-6.135168247488193e-06,1.0383131544923658e-05,-0.00033374098062589647,0.00032147064413092007,0.95,31.551734749867027,10000,complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f,60
bdb2023_sack,primary_loss,30,relnet,set_transformer,-5.27856540354777e-05,0.00013508627040635467,-0.004314991826245592,0.004209420518174637,0.95,31.551734749867027,10000,complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f,60
bdb2023_sack,primary_loss,30,attn_relnet,set_transformer,-4.6650485787989515e-05,0.0001358419145546937,-0.0043326985417317864,0.004239397570155808,0.95,31.551734749867027,10000,complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f,60
bdb2023_sack,primary_loss,40,linear_structure,boosted_structure,-0.0016979134669426992,7.042981595957825e-05,-0.003920096338581263,0.0005242694046958651,0.95,31.551734749867027,10000,complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f,60
bdb2023_sack,primary_loss,40,linear_structure,relnet,-0.00022768137765519092,0.00010097771779189319,-0.003413703545071933,0.002958340789761551,0.95,31.551734749867027,10000,complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f,60
