task_id,model_left,model_right,metric,from_n_train,to_n_train,definition,repeats,difference_in_change_mean,difference_in_change_sd,difference_in_change_mcse,difference_in_change_median,difference_in_change_q10,difference_in_change_q25,difference_in_change_q75,difference_in_change_q90,difference_in_change_iqr,multiplicity_scope
bdb2023_sack,attn_relnet,set_transformer,calibrated_brier,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,-1.5050781118101514e-05,0.0008174008234248964,8.174008234248964e-05,1.1260523549855295e-06,-0.0010823957156265989,-0.0005142116218338783,0.00041529998561355697,0.0009589876703087995,0.0009295116074474353,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,boosted_structure,attn_relnet,calibrated_brier,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,9.060965260124766e-05,0.0008435176919633559,8.435176919633559e-05,0.00014263504464873816,-0.0011890242354567857,-0.00034282150646510433,0.0006325061234374891,0.0010882594373375876,0.0009753276299025934,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,boosted_structure,relnet,calibrated_brier,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,6.830470081483999e-05,0.0008551813755521443,8.551813755521443e-05,0.00012043624701330372,-0.0010122128359131733,-0.0004187915118389184,0.0006117443069890895,0.0010625811941098926,0.001030535818828008,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,boosted_structure,set_transformer,calibrated_brier,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,7.555887148314614e-05,0.0010607141801038606,0.00010607141801038605,0.00016361312580895002,-0.0008747091162177152,-0.0005340730144171163,0.0006588361820482318,0.0012237270736427215,0.0011929091964653481,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,linear_structure,attn_relnet,calibrated_brier,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,0.00012084826240220032,0.0010305070842149332,0.00010305070842149331,-1.2623435109739706e-05,-0.000943738339350067,-0.00036315456994620576,0.00064833499053564,0.0012225511120821165,0.0010114895604818458,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,linear_structure,boosted_structure,calibrated_brier,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,3.023860980095265e-05,0.0009430766563494298,9.430766563494299e-05,-6.162850533481673e-05,-0.0010424718495616624,-0.0005112166336907736,0.0006554576052767019,0.0013394065053303332,0.0011666742389674755,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,linear_structure,relnet,calibrated_brier,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,9.854331061579263e-05,0.0010409591776051877,0.00010409591776051877,4.912168304416903e-05,-0.0009985136022660393,-0.00043924844497885557,0.0006113703448927289,0.0013211295406383283,0.0010506187898715845,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,linear_structure,set_transformer,calibrated_brier,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,0.0001057974812840988,0.0010675527063291508,0.00010675527063291508,0.00017305363967999587,-0.0011676977468249325,-0.0004286603804783042,0.0005965962733803128,0.0013366502369123233,0.001025256653858617,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,relnet,attn_relnet,calibrated_brier,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,2.230495178640768e-05,0.00011065510358405517,1.1065510358405517e-05,1.9728798372458528e-05,-9.60105320388878e-05,-3.329421834295798e-05,6.541695874352077e-05,0.00016092346644519604,9.871117708647875e-05,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,relnet,set_transformer,calibrated_brier,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,7.254170668306165e-06,0.0008232650469950348,8.232650469950349e-05,3.120168785561428e-05,-0.000993620173982373,-0.0004833611968529418,0.00046413968573345843,0.0009508239147715231,0.0009475008825864002,secondary_descriptive_not_in_primary_max_t_family
