task_id,metric,n_train,model_left,model_right,repeats,difference_mean,difference_sd,difference_q10,difference_q90,difference_mcse
bdb2023_sack,primary_loss,10,linear_structure,boosted_structure,100,-0.00242174007994262,0.0010967730175147658,-0.0035885155811684983,-0.0013733319871749024,0.00010967730175147658
bdb2023_sack,primary_loss,10,linear_structure,relnet,100,-0.0001517297092796982,0.001622876015837098,-0.001516247752403485,0.0012258351213035419,0.0001622876015837098
bdb2023_sack,primary_loss,10,linear_structure,attn_relnet,100,-0.00016831282779129235,0.0016452197903476162,-0.0016449668528142267,0.001226108348371708,0.00016452197903476162
bdb2023_sack,primary_loss,10,linear_structure,set_transformer,100,-0.0006281204134391489,0.00255084781999911,-0.00280277248361425,0.0010005101068439298,0.000255084781999911
bdb2023_sack,primary_loss,10,boosted_structure,relnet,100,0.0022700103706629216,0.0015857761889419215,0.0008977155314724886,0.0035982321918944754,0.00015857761889419216
bdb2023_sack,primary_loss,10,boosted_structure,attn_relnet,100,0.0022534272521513277,0.0016118974804272066,0.0009000331020180815,0.0036013807086406405,0.00016118974804272065
bdb2023_sack,primary_loss,10,boosted_structure,set_transformer,100,0.0017936196665034707,0.0027402669083172815,-0.0013930085218770987,0.0036297357677084795,0.00027402669083172816
bdb2023_sack,primary_loss,10,relnet,attn_relnet,100,-1.6583118511594164e-05,7.910198065255798e-05,-2.0262976725469997e-05,4.339668607617619e-06,7.910198065255798e-06
bdb2023_sack,primary_loss,10,relnet,set_transformer,100,-0.0004763907041594506,0.00257838279500395,-0.003002628903709827,0.001158315135160284,0.000257838279500395
bdb2023_sack,primary_loss,10,attn_relnet,set_transformer,100,-0.00045980758564785645,0.002568211993021861,-0.003004309840147218,0.001157992808929834,0.0002568211993021861
bdb2023_sack,primary_loss,20,linear_structure,boosted_structure,100,-0.0023172564388891626,0.0010231924643683038,-0.003383715659210435,-0.0011141752225304832,0.00010231924643683038
bdb2023_sack,primary_loss,20,linear_structure,relnet,100,-0.0002668741108340029,0.001176572904661364,-0.0012729617228127619,0.0007358513617932838,0.00011765729046613639
