task_id,branch,ablation_id,model,n_train,metric,repeats,mean,sd,q10,q90,inferential_family
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,60,game_equal_label1_set_coverage,20,0.900450113378685,0.06737728261667594,0.8017202380952381,0.9674036281179139,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,20,game_equal_label1_set_coverage,20,0.8922842970521543,0.07315161662030174,0.7849886621315193,0.9733333333333333,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,60,game_equal_label1_set_coverage,20,0.8988528911564625,0.07549470910783862,0.7971258503401362,0.9770975056689343,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,20,game_equal_loss,20,0.06212868797123318,0.005674650075037934,0.05467699513362246,0.06818371662106777,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,60,game_equal_loss,20,0.061686756072770244,0.005452659771261967,0.05426320791986569,0.06831515767239474,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,20,game_equal_loss,20,0.06212210712711245,0.005684230945743336,0.05468953379679253,0.0683201460565314,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,60,game_equal_loss,20,0.06174209389527553,0.005448260585230468,0.054261958101505824,0.06843565224763361,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,20,game_equal_mean_entropy,20,0.24749710976712422,0.015380911540788028,0.23375333973671095,0.26881338910930613,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,60,game_equal_mean_entropy,20,0.2476630364542923,0.017645937349263976,0.2279204232899814,0.2677432805975812,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,20,game_equal_mean_entropy,20,0.24716790304245517,0.015733396107045827,0.2327116317400183,0.26938763332222676,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,60,game_equal_mean_entropy,20,0.24789831577134502,0.017112136234173455,0.2277647536483455,0.267663000357603,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,20,game_equal_mean_va_imprecision,20,0.005897003084393407,0.001388670105552461,0.003981444317188576,0.007020977621197788,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,60,game_equal_mean_va_imprecision,20,0.008140713295533317,0.0024994758787452932,0.005850544329306047,0.009905733922371603,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,20,game_equal_mean_va_imprecision,20,0.0058375456468117825,0.0014341518782556553,0.0038245077704561555,0.00721152458014923,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,60,game_equal_mean_va_imprecision,20,0.008134922912287932,0.0023114025386262622,0.005941632789112219,0.009396766786227655,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,20,game_equal_p90_va_imprecision,20,0.010449132236953148,0.0041314785951132,0.005728922388206114,0.015169666750098782,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,60,game_equal_p90_va_imprecision,20,0.01575149422796108,0.0045045170908776895,0.010112872845926126,0.020804070508599806,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,20,game_equal_p90_va_imprecision,20,0.0101272954032969,0.004339788994197318,0.005073537951195765,0.015873876186895425,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,60,game_equal_p90_va_imprecision,20,0.0154820340348411,0.0039146296277290495,0.010690359674615707,0.01990722580753511,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,20,game_equal_rms_reliability,20,0.062022206306557456,0.012736269499779863,0.046010423569262625,0.07523896003723829,secondary_descriptive_only
