task_id,ablation_id,model,n_train,metric,definition,repeats,mean_difference,difference_sd,difference_q10,difference_q90,inferential_family
bdb2023_sack,collapse_typed_edges,attn_relnet,20,game_equal_label0_set_coverage,secondary_minus_fixed_main_within_repeat,20,-0.009217981875191145,0.06568957469241858,-0.09043495049431821,0.061494333068002636,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,60,game_equal_label0_set_coverage,secondary_minus_fixed_main_within_repeat,20,-0.013607576873675442,0.06292270443821336,-0.07665157160763528,0.0397582175719399,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,20,game_equal_label0_set_coverage,secondary_minus_fixed_main_within_repeat,20,-0.010271865865513463,0.06631363355606532,-0.09251115516770506,0.060799734494039165,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,60,game_equal_label0_set_coverage,secondary_minus_fixed_main_within_repeat,20,-0.01036798168798822,0.06897108251463088,-0.0738526435682212,0.05009862739713124,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,20,game_equal_label1_set_coverage,secondary_minus_fixed_main_within_repeat,20,-0.018666524943310687,0.07764489683076606,-0.11283446712018126,0.09391156462585028,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,60,game_equal_label1_set_coverage,secondary_minus_fixed_main_within_repeat,20,-0.006113095238095246,0.09219977945922048,-0.13113095238095232,0.11314058956916077,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,20,game_equal_label1_set_coverage,secondary_minus_fixed_main_within_repeat,20,-0.020534438775510238,0.07302729046378888,-0.11144160997732425,0.045059523809523785,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,60,game_equal_label1_set_coverage,secondary_minus_fixed_main_within_repeat,20,-0.004734126984126974,0.08548119435711647,-0.11132142857142865,0.08634920634920647,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,20,game_equal_loss,secondary_minus_fixed_main_within_repeat,20,-0.00014060585445740162,0.0010913950719711539,-0.0011537269554060272,0.0008966405072314306,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,60,game_equal_loss,secondary_minus_fixed_main_within_repeat,20,2.423105504040582e-06,0.0006412734724837156,-0.0005789323275390737,0.0005686092556978753,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,20,game_equal_loss,secondary_minus_fixed_main_within_repeat,20,-0.00015074755713392237,0.0010564053626656857,-0.0011781224307858885,0.0008962598671133777,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,60,game_equal_loss,secondary_minus_fixed_main_within_repeat,20,4.602390413678305e-05,0.0006565270228459114,-0.0005845926395863343,0.0006758627109694733,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,20,game_equal_mean_entropy,secondary_minus_fixed_main_within_repeat,20,-6.77981940853084e-05,0.005216673657042865,-0.006721494917042758,0.005612800162824949,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,60,game_equal_mean_entropy,secondary_minus_fixed_main_within_repeat,20,-9.240433477511051e-05,0.006214453919898624,-0.00784177143178542,0.004433668729690419,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,20,game_equal_mean_entropy,secondary_minus_fixed_main_within_repeat,20,-0.00010794508697348771,0.004842441810061765,-0.007912099072499226,0.006120110450132538,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,60,game_equal_mean_entropy,secondary_minus_fixed_main_within_repeat,20,0.0005410172100165977,0.006118949001217345,-0.005319536028921884,0.008875094975137249,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,20,game_equal_mean_va_imprecision,secondary_minus_fixed_main_within_repeat,20,-0.0007605369174276565,0.002261727927601523,-0.0027987730477236597,0.0022907276209644467,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,60,game_equal_mean_va_imprecision,secondary_minus_fixed_main_within_repeat,20,0.001248510289139708,0.002665957451264034,-0.0017737819987245326,0.003709231413514375,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,20,game_equal_mean_va_imprecision,secondary_minus_fixed_main_within_repeat,20,-0.0007596191880576966,0.0022021510399177907,-0.0034710638511278855,0.001582107301213932,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,60,game_equal_mean_va_imprecision,secondary_minus_fixed_main_within_repeat,20,0.0014954767972956448,0.002223509271713951,-0.0009259392415826087,0.0037924725527646646,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,20,game_equal_p90_va_imprecision,secondary_minus_fixed_main_within_repeat,20,-0.0021289818883448493,0.00742440452108269,-0.009245101619874338,0.006280734268616185,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,60,game_equal_p90_va_imprecision,secondary_minus_fixed_main_within_repeat,20,0.0016874293796272227,0.006932744748967663,-0.006689124952293725,0.008577105308251511,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,20,game_equal_p90_va_imprecision,secondary_minus_fixed_main_within_repeat,20,-0.0022650471828250364,0.006409948348041181,-0.010726006428651626,0.005379011905269821,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,60,game_equal_p90_va_imprecision,secondary_minus_fixed_main_within_repeat,20,0.0027002868421797262,0.0052584588091690275,-0.0028572317090724284,0.007995544556006984,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,20,game_equal_rms_reliability,secondary_minus_fixed_main_within_repeat,20,0.0006297633073868824,0.017574264127806962,-0.021445993689333077,0.024824748038884917,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,60,game_equal_rms_reliability,secondary_minus_fixed_main_within_repeat,20,0.004075444179196992,0.017978948145143562,-0.011742836750675664,0.03134099803549733,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,20,game_equal_rms_reliability,secondary_minus_fixed_main_within_repeat,20,0.0034726138906015377,0.018081703725433843,-0.01864637758000658,0.02979634889943505,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,60,game_equal_rms_reliability,secondary_minus_fixed_main_within_repeat,20,0.006423926751665168,0.014862416166130326,-0.011833499954854514,0.028351560887991546,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,20,game_equal_set_doubleton_rate,secondary_minus_fixed_main_within_repeat,20,-0.006875628258750183,0.10618518840330159,-0.14414872673971196,0.10754669739935172,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,60,game_equal_set_doubleton_rate,secondary_minus_fixed_main_within_repeat,20,-0.010553899445861653,0.0848820771785252,-0.10254661762758158,0.08431598028922774,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,20,game_equal_set_doubleton_rate,secondary_minus_fixed_main_within_repeat,20,-0.010751647885782135,0.10534408557155293,-0.14605838698080092,0.11926446427935111,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,60,game_equal_set_doubleton_rate,secondary_minus_fixed_main_within_repeat,20,-0.009805161794475003,0.09030986303685185,-0.10882958804156068,0.09022081705926925,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,20,game_equal_set_empty_rate,secondary_minus_fixed_main_within_repeat,20,0.0,0.0,0.0,0.0,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,60,game_equal_set_empty_rate,secondary_minus_fixed_main_within_repeat,20,0.0,0.0,0.0,0.0,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,20,game_equal_set_empty_rate,secondary_minus_fixed_main_within_repeat,20,0.0,0.0,0.0,0.0,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,60,game_equal_set_empty_rate,secondary_minus_fixed_main_within_repeat,20,0.0,0.0,0.0,0.0,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,20,game_equal_set_singleton_rate,secondary_minus_fixed_main_within_repeat,20,0.006875628258750194,0.10618518840330159,-0.10754669739935163,0.144148726739712,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,60,game_equal_set_singleton_rate,secondary_minus_fixed_main_within_repeat,20,0.010553899445861676,0.0848820771785252,-0.08431598028922759,0.10254661762758158,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,20,game_equal_set_singleton_rate,secondary_minus_fixed_main_within_repeat,20,0.010751647885782128,0.10534408557155293,-0.11926446427935099,0.14605838698080084,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,60,game_equal_set_singleton_rate,secondary_minus_fixed_main_within_repeat,20,0.009805161794475017,0.09030986303685182,-0.09022081705926911,0.10882958804156045,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,20,label0_set_coverage,secondary_minus_fixed_main_within_repeat,20,-0.009061086806632746,0.06682742179570773,-0.09423509067974309,0.06400483730048806,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,60,label0_set_coverage,secondary_minus_fixed_main_within_repeat,20,-0.013194796104925322,0.0625088349397865,-0.07964332959359666,0.03905352499218215,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,20,label0_set_coverage,secondary_minus_fixed_main_within_repeat,20,-0.010095600182289333,0.06722188866146704,-0.09650083119617059,0.06321456730666783,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,60,label0_set_coverage,secondary_minus_fixed_main_within_repeat,20,-0.010065548800954765,0.06827279210742845,-0.0768792176694185,0.049518935340214926,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,20,label1_set_coverage,secondary_minus_fixed_main_within_repeat,20,-0.016819281099596833,0.06806090187754923,-0.11461840628507296,0.07139284821205305,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,60,label1_set_coverage,secondary_minus_fixed_main_within_repeat,20,0.0008159346966799041,0.08599942033671924,-0.11246469833119392,0.12373247033441208,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,20,label1_set_coverage,secondary_minus_fixed_main_within_repeat,20,-0.017492894197878382,0.06418074528648673,-0.11461840628507296,0.048435972629521026,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,60,label1_set_coverage,secondary_minus_fixed_main_within_repeat,20,-0.0030942542315542166,0.08249163316843987,-0.11141206675224655,0.07893714869698527,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,20,mean_entropy,secondary_minus_fixed_main_within_repeat,20,-0.0001529214883792901,0.005044949000072381,-0.006517493802506355,0.0049849992672391175,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,60,mean_entropy,secondary_minus_fixed_main_within_repeat,20,-0.00039488761522101233,0.00620170389256531,-0.007976758313525198,0.004173698598278784,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,20,mean_entropy,secondary_minus_fixed_main_within_repeat,20,-0.0001874390398500292,0.0047079435168839315,-0.007068979889281912,0.005432571708475032,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,60,mean_entropy,secondary_minus_fixed_main_within_repeat,20,0.00027443172669516515,0.006190978884241059,-0.00531461651880363,0.008728647156070184,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,20,mean_va_imprecision,secondary_minus_fixed_main_within_repeat,20,-0.0007390620680440836,0.002190830971222974,-0.0027047106556734837,0.002243847328400752,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,60,mean_va_imprecision,secondary_minus_fixed_main_within_repeat,20,0.0012189414911011457,0.0025762557299844994,-0.0016637989704757301,0.0035520024285260353,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,20,mean_va_imprecision,secondary_minus_fixed_main_within_repeat,20,-0.0007523190230075165,0.0021266736793364906,-0.003426970483973827,0.0014661832957165305,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,60,mean_va_imprecision,secondary_minus_fixed_main_within_repeat,20,0.0014571863136875458,0.002142545685007179,-0.0008905514347150571,0.0036275478879032276,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,20,p90_va_imprecision,secondary_minus_fixed_main_within_repeat,20,-0.001968837155079317,0.007964770853279223,-0.01082601090029841,0.008398600260794222,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,60,p90_va_imprecision,secondary_minus_fixed_main_within_repeat,20,0.0024448128475016936,0.007663664886427034,-0.008714310551960914,0.01063083095223822,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,20,p90_va_imprecision,secondary_minus_fixed_main_within_repeat,20,-0.0020144106036790645,0.006695690024308701,-0.009381291987964292,0.006017524434282809,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,60,p90_va_imprecision,secondary_minus_fixed_main_within_repeat,20,0.0015864692584976968,0.005279913314978049,-0.006832273473494692,0.0069206058251232916,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,20,primary_loss,secondary_minus_fixed_main_within_repeat,20,-0.00017402198910715822,0.0011404969107261973,-0.0010470620639077693,0.0008926129385843799,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,attn_relnet,60,primary_loss,secondary_minus_fixed_main_within_repeat,20,1.0920131245346216e-05,0.000629705723686516,-0.0006074026144566689,0.0005368943109995896,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,relnet,20,primary_loss,secondary_minus_fixed_main_within_repeat,20,-0.0001821830895131677,0.001100924884850812,-0.0010704847796317494,0.0008927827671034839,secondary_descriptive_only
