task_id,metric,n_train,model,sd,bca_lower,bca_upper,confidence_level,interval_method,bias_correction,acceleration,adjusted_lower_quantile,adjusted_upper_quantile,repeats,bootstrap_draws,bootstrap_unit,jackknife_unit,bootstrap_index_sha256
bdb2023_sack,primary_loss,10,linear_structure,0.005060174885047497,0.004478744720485047,0.005920135103045924,0.95,BCa,0.12288268129946614,0.05065044921684356,0.05963894564081734,0.9928844988306414,100,10000,complete_repeat_5x6_vector,delete_one_complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f
bdb2023_sack,primary_loss,20,linear_structure,0.0049937352431379915,0.004401734465635382,0.00583467950470065,0.95,BCa,0.11076840536730806,0.05079649784022015,0.05709439259852489,0.9923440499276794,100,10000,complete_repeat_5x6_vector,delete_one_complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f
bdb2023_sack,primary_loss,30,linear_structure,0.005042161360831466,0.004438592083206656,0.005969546050773982,0.95,BCa,0.11631865678545307,0.06002638096235878,0.06133959224248048,0.9935806922801633,100,10000,complete_repeat_5x6_vector,delete_one_complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f
bdb2023_sack,primary_loss,40,linear_structure,0.005066817872819695,0.004456107516122219,0.005969243252166346,0.95,BCa,0.11556159710538327,0.05439663352564427,0.059301280002135526,0.9929604859187823,100,10000,complete_repeat_5x6_vector,delete_one_complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f
bdb2023_sack,primary_loss,50,linear_structure,0.0049749255013888756,0.004397355521959386,0.005775063614505,0.95,BCa,0.11177728320980798,0.04699362766305168,0.056062212736951056,0.9919573858531877,100,10000,complete_repeat_5x6_vector,delete_one_complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f
bdb2023_sack,primary_loss,60,linear_structure,0.004918398501428673,0.004338456031440738,0.005742569315668724,0.95,BCa,0.11152505312308653,0.049714157449094,0.05689906653938803,0.9922574818246612,100,10000,complete_repeat_5x6_vector,delete_one_complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f
bdb2023_sack,primary_loss,10,boosted_structure,0.005472531921482392,0.004814226866267762,0.006448535374186233,0.95,BCa,0.11505692747233794,0.05600891182924594,0.05972723609235869,0.9931100256653623,100,10000,complete_repeat_5x6_vector,delete_one_complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f
bdb2023_sack,primary_loss,20,boosted_structure,0.005516834802007789,0.004891724050196944,0.0064611386244496066,0.95,BCa,0.12237757192738684,0.053464065634264625,0.06047177885778926,0.9931606099407864,100,10000,complete_repeat_5x6_vector,delete_one_complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f
bdb2023_sack,primary_loss,30,boosted_structure,0.005390127099105029,0.004761452214992996,0.006353145775584387,0.95,BCa,0.11783297660947314,0.058900497709519585,0.061295793410950206,0.9935293000734247,100,10000,complete_repeat_5x6_vector,delete_one_complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f
bdb2023_sack,primary_loss,40,boosted_structure,0.005273487576729351,0.004656119344227993,0.006200649229497784,0.95,BCa,0.11556159710538327,0.058108628978462064,0.060534664266090665,0.9933519548179676,100,10000,complete_repeat_5x6_vector,delete_one_complete_repeat_5x6_vector,809a3f2f1d77cce8aa4e86320f229cd025238ab79be8d1df66d61a601099ba7f
