task_id,ablation_id,n_train,metric,model_left,model_right,definition,repeats,mean_difference,difference_sd,difference_q10,difference_q90,inferential_family
bdb2023_sack,collapse_typed_edges,20,rms_reliability,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,-0.0003025608044767894,0.0019875272330629134,-0.002248961610863855,0.0010908152882293113,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,60,rms_reliability,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,-0.0003268192410205062,0.0026633611133751456,-0.0028759006722597342,0.0024584857791730753,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,20,set_doubleton_rate,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,-0.0017910057744341956,0.009138320200995573,-0.003556404955178571,0.0038505087463768257,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,60,set_doubleton_rate,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,-0.0011333711321538098,0.02102162491975241,-0.018655966541741297,0.007121156125960503,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,20,set_empty_rate,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,0.0,0.0,0.0,0.0,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,60,set_empty_rate,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,0.0,0.0,0.0,0.0,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,20,set_singleton_rate,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,0.001791005774434199,0.009138320200995578,-0.0038505087463768183,0.003556404955178539,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,60,set_singleton_rate,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,0.0011333711321538133,0.02102162491975239,-0.007121156125960498,0.018655966541741353,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,20,skill,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,0.00014270568224488133,0.0009168773337989859,-0.00014133604486519233,0.0004443830179208713,secondary_descriptive_only
bdb2023_sack,collapse_typed_edges,60,skill,relnet,attn_relnet,relnet_minus_attn_relnet_within_repeat,20,-0.000857455247318839,0.009128826449969128,-0.0014890537485494847,0.0001907470807312135,secondary_descriptive_only
