metric,model,n_train,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws,fixed_mean,tuned_mean,relative_change,significant_shift
crps,lightgbm_multiclass,20,tuned - fixed,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,4.048961585338955,10000,0.014231121257645092,0.014231121257645092,0.0,False
coverage,lightgbm_multiclass,20,tuned - fixed,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,4.048961585338955,10000,0.9156681587089327,0.9156681587089327,0.0,False
mean_width,lightgbm_multiclass,20,tuned - fixed,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,4.048961585338955,10000,16.026580789783733,16.026580789783733,0.0,False
mean_width_inclusive,lightgbm_multiclass,20,tuned - fixed,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,4.048961585338955,10000,17.026580789783733,17.026580789783733,0.0,False
mean_q,lightgbm_multiclass,20,tuned - fixed,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,4.048961585338955,10000,1.398871449530624,1.398871449530624,0.0,False
crps_game_equal,lightgbm_multiclass,20,tuned - fixed,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,4.048961585338955,10000,0.014187784728167601,0.014187784728167601,0.0,False
coverage_game_equal,lightgbm_multiclass,20,tuned - fixed,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,4.048961585338955,10000,0.9157380022867155,0.9157380022867155,0.0,False
mean_width_game_equal,lightgbm_multiclass,20,tuned - fixed,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,4.048961585338955,10000,16.049996330799615,16.049996330799615,0.0,False
mean_width_inclusive_game_equal,lightgbm_multiclass,20,tuned - fixed,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,4.048961585338955,10000,17.049996330799615,17.049996330799615,0.0,False
crps,ridge_sgd_l2,20,tuned - fixed,50,-0.00018776553339148707,9.90319956636104e-05,1.4005239137635137e-05,-0.00021591011511557764,-0.0001596209516673965,-0.0002444722086532574,-0.00013105885812971673,0.95,4.048961585338955,10000,0.014281175614356436,0.01409341008096495,-0.013147764474146794,True
coverage,ridge_sgd_l2,20,tuned - fixed,50,-0.010172554574572256,0.004935327954422135,0.0006979607727902847,-0.011575159258216563,-0.00876994989092795,-0.01299857093167361,-0.007346538217470902,0.95,4.048961585338955,10000,0.937762515181919,0.9275899606073468,-0.010847687351417385,True
mean_width,ridge_sgd_l2,20,tuned - fixed,50,-2.8892625694047074,0.6953956956654497,0.09834380240259522,-3.086891839178463,-2.6916332996309515,-3.2874528474889804,-2.4910722913204344,0.95,4.048961585338955,10000,21.669733597984365,18.780471028579655,-0.13333170693309562,True
mean_width_inclusive,ridge_sgd_l2,20,tuned - fixed,50,-2.8892625694047074,0.6953956956654497,0.09834380240259522,-3.086891839178463,-2.6916332996309515,-3.2874528474889804,-2.4910722913204344,0.95,4.048961585338955,10000,22.669733597984365,19.780471028579655,-0.12745022154391794,True
mean_q,ridge_sgd_l2,20,tuned - fixed,50,-0.003836972920029127,0.17560501360911576,0.02483429918667234,-0.05374336553146136,0.046069419691403116,-0.1043900963256799,0.09671615048562164,0.95,4.048961585338955,10000,0.3760127320031389,0.3721757590831098,-0.010204369675431885,False
crps_game_equal,ridge_sgd_l2,20,tuned - fixed,50,-0.00018481455453556826,9.96808430492858e-05,1.4097000014908384e-05,-0.00021314353664612215,-0.00015648557242501436,-0.000241892766064455,-0.00012773634300668153,0.95,4.048961585338955,10000,0.014243419987045609,0.014058605432510043,-0.012975433898856954,True
