repeat,model,n_train,metric,contrast,value
1,lightgbm_multiclass,360,mean_q,tuned - fixed,0.0
1,lightgbm_multiclass,360,crps_game_equal,tuned - fixed,0.0
1,lightgbm_multiclass,360,coverage_game_equal,tuned - fixed,0.0
1,lightgbm_multiclass,360,mean_width_game_equal,tuned - fixed,0.0
1,lightgbm_multiclass,360,mean_width_inclusive_game_equal,tuned - fixed,0.0
1,ridge_sgd_l2,360,crps,tuned - fixed,-0.0003093951163934197
1,ridge_sgd_l2,360,coverage,tuned - fixed,-0.010020677588675087
1,ridge_sgd_l2,360,mean_width,tuned - fixed,-2.884682678543026
1,ridge_sgd_l2,360,mean_width_inclusive,tuned - fixed,-2.884682678543026
1,ridge_sgd_l2,360,mean_q,tuned - fixed,-0.05582948942261806
1,ridge_sgd_l2,360,crps_game_equal,tuned - fixed,-0.00030530411133098886
1,ridge_sgd_l2,360,coverage_game_equal,tuned - fixed,-0.010037232264100138
1,ridge_sgd_l2,360,mean_width_game_equal,tuned - fixed,-2.8597601629463583
1,ridge_sgd_l2,360,mean_width_inclusive_game_equal,tuned - fixed,-2.8597601629463583
1,set_transformer,360,crps,tuned - fixed,-0.00011735723218260496
1,set_transformer,360,coverage,tuned - fixed,0.010975027835215534
1,set_transformer,360,mean_width,tuned - fixed,0.968665500238588
1,set_transformer,360,mean_width_inclusive,tuned - fixed,0.9686655002385862
1,set_transformer,360,mean_q,tuned - fixed,-0.13376809289009067
1,set_transformer,360,crps_game_equal,tuned - fixed,-0.00011733799317823618
1,set_transformer,360,coverage_game_equal,tuned - fixed,0.010335804119573244
1,set_transformer,360,mean_width_game_equal,tuned - fixed,0.9572499943108834
1,set_transformer,360,mean_width_inclusive_game_equal,tuned - fixed,0.9572499943108834
1,zoo_cnn,360,crps,tuned - fixed,8.500508821146502e-10
1,zoo_cnn,360,coverage,tuned - fixed,0.0
1,zoo_cnn,360,mean_width,tuned - fixed,0.0
1,zoo_cnn,360,mean_width_inclusive,tuned - fixed,0.0
1,zoo_cnn,360,mean_q,tuned - fixed,0.0
1,zoo_cnn,360,crps_game_equal,tuned - fixed,7.8870205678927e-10
1,zoo_cnn,360,coverage_game_equal,tuned - fixed,0.0
1,zoo_cnn,360,mean_width_game_equal,tuned - fixed,0.0
1,zoo_cnn,360,mean_width_inclusive_game_equal,tuned - fixed,0.0
2,lightgbm_multiclass,20,crps,tuned - fixed,0.0
