branch,coverage,coverage_game_equal,crps,crps_game_equal,elapsed_seconds,execution_queue,manifest_hash,mean_q,mean_width,mean_width_game_equal,mean_width_inclusive,mean_width_inclusive_game_equal,model,model_config_hash,model_display_name,n_calibration,n_test,n_test_games,n_train,n_train_plays,parameter_count,repeat,std_q,std_width,timestamp_utc
main,0.9121997773182758,0.9124923387541263,0.014884377652124045,0.01482862047620545,9.624594748020172,cpu_tabular,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,2.15237792269763,15.603149355813583,15.634854167557023,16.603149355813585,16.634854167557023,lightgbm_multiclass,5689446e19bdea1df411111e1e4b5cc50183c270622d0757b33c51d0a5938a1c,LightGBM,6111,6287,137,20,919,6200,1,0.6681259554939147,5.657878618508966,2026-08-20T05:27:02.066056+00:00
main,0.9209479879115635,0.9209541617883614,0.014738333019380918,0.01468193233060058,14.469654448796064,cpu_tabular,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,0.392078892953714,19.700970256083984,19.644721240526934,20.700970256083984,20.644721240526934,ridge_sgd_l2,851f14fb6b5ecda88baab0b92a7a36c949fdd0437766fc7d2433f329e2fde2f3,L2 one-vs-rest logistic,6111,6287,137,20,919,3280,1,0.6776423081653308,8.43288549432106,2026-08-20T05:26:46.812642+00:00
main,0.9082233179576905,0.9082292276047372,0.014345778096945367,0.014279409951055777,31.49935957393609,gpu_neural,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,1.0606012406553205,14.971528550978208,14.972116403279003,15.971528550978208,15.972116403279003,set_transformer,6f4dec421d8ca8a60ca233da0707302c871aa8127caae786bc585c163e11c567,Set Transformer,6111,6287,137,20,919,157416,1,0.8663386305954309,1.4520605133498057,2026-08-20T05:27:36.359617+00:00
main,0.9064736758390329,0.9065810574872074,0.016791034092693835,0.016759904810032436,19.250232581980526,gpu_neural,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,3.229362175918562,15.804994432956896,15.823267460567685,16.804994432956896,16.823267460567685,zoo_cnn,219344d288a1f6230782c6839c7a9758e13c3625ddae1b87e29779a206a56278,Zoo CNN,6111,6287,137,20,919,145584,1,0.9471611167531091,4.199315944604525,2026-08-20T05:27:02.140528+00:00
main,0.9069508509623032,0.9076777198150063,0.014642731918742408,0.014574460852133493,12.65803497703746,cpu_tabular,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,2.3971687609352634,15.043581994592016,15.078926106362841,16.043581994592014,16.07892610636284,lightgbm_multiclass,5689446e19bdea1df411111e1e4b5cc50183c270622d0757b33c51d0a5938a1c,LightGBM,6111,6287,137,40,1854,8200,1,0.4893504112587917,5.0515959955294605,2026-08-20T05:27:48.635075+00:00
main,0.9244472721488787,0.9244092249509804,0.014717906556364265,0.014657952942527122,22.966160741169006,cpu_tabular,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,0.46222363607443934,20.095912199777317,20.039964191080244,21.095912199777317,21.039964191080244,ridge_sgd_l2,851f14fb6b5ecda88baab0b92a7a36c949fdd0437766fc7d2433f329e2fde2f3,L2 one-vs-rest logistic,6111,6287,137,40,1854,3280,1,0.7564315509739724,8.300274318436735,2026-08-20T05:27:30.482998+00:00
main,0.9101320184507714,0.9103697687718835,0.014116920474064447,0.01405847586889345,40.44985467288643,gpu_neural,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,0.8538253539048831,14.76093526324161,14.76216115424186,15.76093526324161,15.76216115424186,set_transformer,6f4dec421d8ca8a60ca233da0707302c871aa8127caae786bc585c163e11c567,Set Transformer,6111,6287,137,40,1854,157416,1,0.6073399672865268,2.1371107589228817,2026-08-20T05:28:40.634833+00:00
main,0.9139494194369333,0.9139819845913202,0.01577149051003806,0.015733553994723242,18.278177375905216,gpu_neural,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,2.6814060760299028,16.382217273739464,16.40188087010644,17.382217273739464,17.40188087010644,zoo_cnn,219344d288a1f6230782c6839c7a9758e13c3625ddae1b87e29779a206a56278,Zoo CNN,6111,6287,137,40,1854,145584,1,1.214037654960803,5.377959815797986,2026-08-20T05:27:57.458539+00:00
main,0.9013838078574837,0.9019984412042392,0.01441321459503087,0.014340973676114997,17.478174443356693,cpu_tabular,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,2.0914585652934625,13.709400349928424,13.729548414191898,14.709400349928424,14.729548414191898,lightgbm_multiclass,5689446e19bdea1df411111e1e4b5cc50183c270622d0757b33c51d0a5938a1c,LightGBM,6111,6287,137,80,3667,10200,1,0.28828304669289995,3.8167554814576365,2026-08-20T05:28:58.064560+00:00
main,0.9276284396373469,0.9277043118178536,0.014754733036851061,0.014694393401442142,40.93631247011945,cpu_tabular,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,0.4472721488786385,20.591697152855097,20.53604282368801,21.591697152855097,21.53604282368801,ridge_sgd_l2,851f14fb6b5ecda88baab0b92a7a36c949fdd0437766fc7d2433f329e2fde2f3,L2 one-vs-rest logistic,6111,6287,137,80,3667,3280,1,0.7553258476132959,8.417431183189557,2026-08-20T05:28:35.083450+00:00
main,0.9177668204230953,0.9179557153786484,0.013815245688035337,0.01377200838758612,49.91854831716046,gpu_neural,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,0.2848735485923334,15.465722920311755,15.494771116980395,16.465722920311755,16.494771116980395,set_transformer,6f4dec421d8ca8a60ca233da0707302c871aa8127caae786bc585c163e11c567,Set Transformer,6111,6287,137,80,3667,157416,1,0.45139009573611144,3.8051149344305495,2026-08-20T05:29:56.440413+00:00
main,0.9190392874184826,0.9198866272277609,0.014432105267404204,0.014378016366787802,20.41989981289953,gpu_neural,9c5f075e997fceb3fc44b4180209091435c495fb2a260a383b1a3efd8787f877,1.2260219500556704,16.072053443613807,16.109540901723037,17.072053443613807,17.109540901723037,zoo_cnn,219344d288a1f6230782c6839c7a9758e13c3625ddae1b87e29779a206a56278,Zoo CNN,6111,6287,137,80,3667,145584,1,0.724971919428425,6.171124755609057,2026-08-20T05:29:03.832643+00:00
