task_id,metric,n_train,model_left,model_right,width_mean_difference_left_minus_right,width_simultaneous_lower,width_simultaneous_upper,target_coverage,coverage_mean_left,coverage_mean_right,coverage_lcb_left,coverage_lcb_right,coverage_controlled_left,coverage_controlled_right,both_coverage_controlled,sharper_model,sharper_at_controlled_coverage,conclusion,decision_rule,confidence_level,width_family_contrasts,coverage_family_members,bootstrap_draws,bootstrap_unit,bootstrap_index_sha256_width,bootstrap_index_sha256_coverage
bdb2020_rushing_harmonized,interval_width,40,linear_structure,boosted_structure,-2.4569950663631586,-2.9050748431254516,-2.0089152896008655,0.9,0.9255743384830043,0.9359907206737138,0.9205157747673274,0.9335661658274134,True,True,True,linear_structure,True,sharper_at_controlled_coverage,both_simultaneous_mean_coverage_lcbs_meet_target_and_simultaneous_width_ci_excludes_zero,0.9,60,30,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6
bdb2020_rushing_harmonized,interval_width,40,linear_structure,relnet,3.0437630383356122,2.3664030335075954,3.721123043163629,0.9,0.9255743384830043,0.9185565524301605,0.9205157747673274,0.9128904439992919,True,True,True,relnet,True,sharper_at_controlled_coverage,both_simultaneous_mean_coverage_lcbs_meet_target_and_simultaneous_width_ci_excludes_zero,0.9,60,30,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6
bdb2020_rushing_harmonized,interval_width,40,linear_structure,attn_relnet,3.0933544525020977,2.4314765504317815,3.755232354572414,0.9,0.9255743384830043,0.9182389103213996,0.9205157747673274,0.9124937363611894,True,True,True,attn_relnet,True,sharper_at_controlled_coverage,both_simultaneous_mean_coverage_lcbs_meet_target_and_simultaneous_width_ci_excludes_zero,0.9,60,30,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6
bdb2020_rushing_harmonized,interval_width,40,linear_structure,set_transformer,3.0851709022493528,2.4013028006852295,3.769039003813476,0.9,0.9255743384830043,0.9187253191499672,0.9205157747673274,0.9134603253437578,True,True,True,set_transformer,True,sharper_at_controlled_coverage,both_simultaneous_mean_coverage_lcbs_meet_target_and_simultaneous_width_ci_excludes_zero,0.9,60,30,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6
bdb2020_rushing_harmonized,interval_width,40,boosted_structure,relnet,5.500758104698772,4.830387600585483,6.171128608812061,0.9,0.9359907206737138,0.9185565524301605,0.9335661658274134,0.9128904439992919,True,True,True,relnet,True,sharper_at_controlled_coverage,both_simultaneous_mean_coverage_lcbs_meet_target_and_simultaneous_width_ci_excludes_zero,0.9,60,30,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6
bdb2020_rushing_harmonized,interval_width,40,boosted_structure,attn_relnet,5.550349518865253,4.903890033523087,6.196809004207418,0.9,0.9359907206737138,0.9182389103213996,0.9335661658274134,0.9124937363611894,True,True,True,attn_relnet,True,sharper_at_controlled_coverage,both_simultaneous_mean_coverage_lcbs_meet_target_and_simultaneous_width_ci_excludes_zero,0.9,60,30,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6
bdb2020_rushing_harmonized,interval_width,40,boosted_structure,set_transformer,5.54216596861251,4.877388644055895,6.206943293169125,0.9,0.9359907206737138,0.9187253191499672,0.9335661658274134,0.9134603253437578,True,True,True,set_transformer,True,sharper_at_controlled_coverage,both_simultaneous_mean_coverage_lcbs_meet_target_and_simultaneous_width_ci_excludes_zero,0.9,60,30,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6
bdb2020_rushing_harmonized,interval_width,40,relnet,attn_relnet,0.04959141416648374,-0.1928481550269523,0.2920309833599198,0.9,0.9185565524301605,0.9182389103213996,0.9128904439992919,0.9124937363611894,True,True,True,,False,inconclusive_at_controlled_coverage,both_simultaneous_mean_coverage_lcbs_meet_target_and_simultaneous_width_ci_excludes_zero,0.9,60,30,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6
bdb2020_rushing_harmonized,interval_width,40,relnet,set_transformer,0.04140786391373995,-0.5408042231232039,0.6236199509506838,0.9,0.9185565524301605,0.9187253191499672,0.9128904439992919,0.9134603253437578,True,True,True,,False,inconclusive_at_controlled_coverage,both_simultaneous_mean_coverage_lcbs_meet_target_and_simultaneous_width_ci_excludes_zero,0.9,60,30,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6
bdb2020_rushing_harmonized,interval_width,40,attn_relnet,set_transformer,-0.008183550252743732,-0.5872995171693152,0.5709324166638277,0.9,0.9182389103213996,0.9187253191499672,0.9124937363611894,0.9134603253437578,True,True,True,,False,inconclusive_at_controlled_coverage,both_simultaneous_mean_coverage_lcbs_meet_target_and_simultaneous_width_ci_excludes_zero,0.9,60,30,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6
bdb2020_rushing_harmonized,interval_width,80,linear_structure,boosted_structure,-3.3845137688764297,-3.736256428261382,-3.0327711094914775,0.9,0.9254300844591914,0.9368251549158925,0.92134864720025,0.9349093309626657,True,True,True,linear_structure,True,sharper_at_controlled_coverage,both_simultaneous_mean_coverage_lcbs_meet_target_and_simultaneous_width_ci_excludes_zero,0.9,60,30,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6
