task_id,metric,n_train,model,mean_coverage,standard_error,simultaneous_lower,target_coverage,coverage_controlled,confidence_level,sidedness,max_t_critical,bootstrap_draws,bootstrap_unit,bootstrap_index_sha256,family_members
bdb2020_rushing_harmonized,coverage,20,linear_structure,0.9209687135218084,0.0023718980266772276,0.9150062060758691,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,40,linear_structure,0.9255743384830043,0.0020123073059147996,0.9205157747673274,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,80,linear_structure,0.9254300844591914,0.0016236043423447553,0.92134864720025,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,160,linear_structure,0.9293462969739887,0.0013307156064079402,0.9260011271469577,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,240,linear_structure,0.931329830813666,0.0012392239289967777,0.9282146539297,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,360,linear_structure,0.9322015365598176,0.0011516631173239718,0.9293064711585965,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,20,boosted_structure,0.9318750303954073,0.001178396721454702,0.9289127617198913,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,40,boosted_structure,0.9359907206737138,0.0009644930270782745,0.9335661658274134,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,80,boosted_structure,0.9368251549158925,0.0007621188057742758,0.9349093309626657,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,160,boosted_structure,0.938689480327126,0.0007675997889284294,0.9367598782086913,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
