metric,model,size_from,size_to,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws
crps,ridge_sgd_l2,20,360,360 - 20,100,-6.034325730339967e-05,6.933619523815427e-05,6.933619523815427e-06,-7.410106269786581e-05,-4.658545190893354e-05,-8.17415356617501e-05,-3.8944978945049235e-05,0.95,3.086162758837884,10000
coverage,ridge_sgd_l2,20,360,360 - 20,100,-0.000421845207271766,0.004493518941006412,0.0004493518941006412,-0.0013134568527387927,0.00046976643819526066,-0.0018086182884584296,0.0009649278739148975,0.95,3.086162758837884,10000
mean_width,ridge_sgd_l2,20,360,360 - 20,100,-0.11563454168005421,0.8697586050678238,0.08697586050678238,-0.28821351846966636,0.05694443510955796,-0.38405620329396467,0.15278711993385624,0.95,3.086162758837884,10000
mean_width_inclusive,ridge_sgd_l2,20,360,360 - 20,100,-0.11563454168005421,0.8697586050678238,0.08697586050678238,-0.28821351846966636,0.05694443510955796,-0.38405620329396467,0.15278711993385624,0.95,3.086162758837884,10000
mean_q,ridge_sgd_l2,20,360,360 - 20,100,-0.05294730505613177,0.1470493763719127,0.01470493763719127,-0.08212509158672472,-0.02376951852553882,-0.09832913596306501,-0.007565474149198531,0.95,3.086162758837884,10000
crps_game_equal,ridge_sgd_l2,20,360,360 - 20,100,-6.089670590041271e-05,7.12419966070203e-05,7.124199660702031e-06,-7.503266363311008e-05,-4.6760748167715335e-05,-8.28831455797968e-05,-3.891026622102861e-05,0.95,3.086162758837884,10000
coverage_game_equal,ridge_sgd_l2,20,360,360 - 20,100,-0.00037532456374666845,0.0044929830645551155,0.00044929830645551157,-0.0012668298796998374,0.0005161807522065006,-0.0017619322647385992,0.0010112831372452622,0.95,3.086162758837884,10000
mean_width_game_equal,ridge_sgd_l2,20,360,360 - 20,100,-0.11656548438811193,0.8666212230858429,0.08666212230858429,-0.2885219365265237,0.05539096775029981,-0.38401889885871854,0.15088793008249468,0.95,3.086162758837884,10000
mean_width_inclusive_game_equal,ridge_sgd_l2,20,360,360 - 20,100,-0.11656548438811204,0.8666212230858428,0.08666212230858428,-0.28852193652652375,0.05539096775029967,-0.3840188988587186,0.15088793008249451,0.95,3.086162758837884,10000
crps,lightgbm_multiclass,20,360,360 - 20,100,-0.0008738828517255074,8.209049909891487e-05,8.209049909891487e-06,-0.0008901713877124949,-0.0008575943157385199,-0.000899217315842856,-0.0008485483876081588,0.95,3.086162758837884,10000
coverage,lightgbm_multiclass,20,360,360 - 20,100,-0.0005364573060948875,0.005064479363941603,0.0005064479363941603,-0.0015413598865447714,0.00046844527435499646,-0.002099438066684842,0.0010265234544950673,0.95,3.086162758837884,10000
mean_width,lightgbm_multiclass,20,360,360 - 20,100,-2.4136243813154397,0.599929683145765,0.0599929683145765,-2.532663446016546,-2.2945853166143335,-2.598772445920027,-2.2284763167108523,0.95,3.086162758837884,10000
mean_width_inclusive,lightgbm_multiclass,20,360,360 - 20,100,-2.4136243813154397,0.599929683145765,0.0599929683145765,-2.532663446016546,-2.2945853166143335,-2.598772445920027,-2.2284763167108523,0.95,3.086162758837884,10000
mean_q,lightgbm_multiclass,20,360,360 - 20,100,0.010606339858636578,0.26197084628119516,0.026197084628119517,-0.0413743595405857,0.06258703925785886,-0.07024212711079028,0.09145480682806342,0.95,3.086162758837884,10000
crps_game_equal,lightgbm_multiclass,20,360,360 - 20,100,-0.000878311937067311,8.15055027496594e-05,8.150550274965939e-06,-0.0008944843970870222,-0.0008621394770475998,-0.0009034658617899468,-0.0008531580123446752,0.95,3.086162758837884,10000
coverage_game_equal,lightgbm_multiclass,20,360,360 - 20,100,-0.00017336116842449955,0.005134763188192001,0.0005134763188192001,-0.0011922095844238332,0.0008454872475748341,-0.001758032661109483,0.001411310324260484,0.95,3.086162758837884,10000
mean_width_game_equal,lightgbm_multiclass,20,360,360 - 20,100,-2.412339983623512,0.6019388037071841,0.06019388037071841,-2.5317777014321776,-2.292902265814847,-2.5981080955335663,-2.226571871713458,0.95,3.086162758837884,10000
mean_width_inclusive_game_equal,lightgbm_multiclass,20,360,360 - 20,100,-2.412339983623512,0.6019388037071842,0.06019388037071842,-2.5317777014321776,-2.292902265814847,-2.5981080955335663,-2.226571871713458,0.95,3.086162758837884,10000
crps,zoo_cnn,20,360,360 - 20,100,-0.00334267630457942,0.001242971967036111,0.0001242971967036111,-0.003589308909303734,-0.003096043699855106,-0.003726277684074052,-0.002959074925084788,0.95,3.086162758837884,10000
coverage,zoo_cnn,20,360,360 - 20,100,-0.009247272669661095,0.022259491260695558,0.002225949126069556,-0.013664038658804245,-0.004830506680517944,-0.01611691396560469,-0.0023776313737174978,0.95,3.086162758837884,10000
mean_width,zoo_cnn,20,360,360 - 20,100,-6.530118537014814,8.1921837300709,0.81921837300709,-8.155625519722845,-4.904611554306783,-9.058359771145057,-4.00187730288457,0.95,3.086162758837884,10000
mean_width_inclusive,zoo_cnn,20,360,360 - 20,100,-6.530118537014814,8.1921837300709,0.81921837300709,-8.155625519722845,-4.904611554306783,-9.058359771145057,-4.00187730288457,0.95,3.086162758837884,10000
mean_q,zoo_cnn,20,360,360 - 20,100,-2.246328862708627,1.5120161910347358,0.15120161910347357,-2.546345678429298,-1.9463120469879556,-2.712961668661758,-1.779696056755496,0.95,3.086162758837884,10000
crps_game_equal,zoo_cnn,20,360,360 - 20,100,-0.0033443201303571795,0.0012532541536411713,0.00012532541536411712,-0.0035929929439775274,-0.0030956473167368316,-0.003731094759989807,-0.002957545500724552,0.95,3.086162758837884,10000
coverage_game_equal,zoo_cnn,20,360,360 - 20,100,-0.009336911543221525,0.022143705876211364,0.0022143705876211364,-0.013730703200101627,-0.004943119886341423,-0.016170819585003837,-0.0025030035014392124,0.95,3.086162758837884,10000
mean_width_game_equal,zoo_cnn,20,360,360 - 20,100,-6.5180136865154,8.186874097156313,0.8186874097156313,-8.14246712285989,-4.893560250170911,-9.044616281509233,-3.991411091521566,0.95,3.086162758837884,10000
mean_width_inclusive_game_equal,zoo_cnn,20,360,360 - 20,100,-6.5180136865154,8.186874097156315,0.8186874097156315,-8.142467122859891,-4.89356025017091,-9.044616281509235,-3.9914110915215657,0.95,3.086162758837884,10000
crps,set_transformer,20,360,360 - 20,100,-0.0013712459895957498,0.00023369821749984353,2.3369821749984353e-05,-0.0014176167860658051,-0.0013248751931256946,-0.0014433690631612311,-0.0012991229160302686,0.95,3.086162758837884,10000
coverage,set_transformer,20,360,360 - 20,100,0.0003885732874000114,0.011801080046824836,0.0011801080046824836,-0.0019530170201020602,0.002730163594902083,-0.0032534320880575527,0.004030578662857575,0.95,3.086162758837884,10000
mean_width,set_transformer,20,360,360 - 20,100,-2.610523136232382,1.587776536180187,0.1587776536180187,-2.9255724480620287,-2.2954738244027353,-3.1005368177639725,-2.1205094547007914,0.95,3.086162758837884,10000
mean_width_inclusive,set_transformer,20,360,360 - 20,100,-2.610523136232382,1.5877765361801868,0.15877765361801868,-2.9255724480620287,-2.2954738244027353,-3.1005368177639725,-2.1205094547007914,0.95,3.086162758837884,10000
mean_q,set_transformer,20,360,360 - 20,100,-0.26502297441383643,0.4034963497618108,0.04034963497618108,-0.3450854041207626,-0.18496054470691028,-0.38954851521002903,-0.14049743361764383,0.95,3.086162758837884,10000
crps_game_equal,set_transformer,20,360,360 - 20,100,-0.0013666884760806291,0.00023636898712517073,2.3636898712517073e-05,-0.0014135892111870993,-0.001319787740974159,-0.0014396357926216225,-0.0012937411595396358,0.95,3.086162758837884,10000
coverage_game_equal,set_transformer,20,360,360 - 20,100,0.000545166512290195,0.011898550164338795,0.0011898550164338795,-0.0018157639811555509,0.002906097005735941,-0.0031269197278444823,0.004217252752424873,0.95,3.086162758837884,10000
mean_width_game_equal,set_transformer,20,360,360 - 20,100,-2.592364181399592,1.5869904919739914,0.15869904919739913,-2.907257525005382,-2.2774708377938024,-3.0821352768955865,-2.1025930859035977,0.95,3.086162758837884,10000
mean_width_inclusive_game_equal,set_transformer,20,360,360 - 20,100,-2.5923641813995912,1.586990491973992,0.1586990491973992,-2.907257525005381,-2.2774708377938016,-3.0821352768955856,-2.102593085903597,0.95,3.086162758837884,10000
