metric,base_metric,aggregation,n_train,model_a,model_a_display_name,model_b,model_b_display_name,mean_width_a,mean_width_b,width_mean_difference_a_minus_b,width_simultaneous_lower,width_simultaneous_upper,coverage_metric,coverage_target,coverage_lcb_a,coverage_lcb_b,coverage_qualified_a,coverage_qualified_b,both_coverage_qualified,sharper_model,sharper_model_display_name,sharper_at_controlled_coverage,sharpness_status
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,20,ridge_sgd_l2,L2 one-vs-rest logistic,lightgbm_multiclass,LightGBM,22.656402714920443,17.079649307362516,5.576753407557928,5.296597952810557,5.856908862305299,coverage_game_equal,0.9,0.9355882914309332,0.9142168534928448,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,20,ridge_sgd_l2,L2 one-vs-rest logistic,zoo_cnn,Zoo CNN,22.656402714920443,21.656214196611028,1.0001885183094132,-2.2580599942355217,4.258437030854348,coverage_game_equal,0.9,0.9355882914309332,0.9223716705165854,True,True,True,,,False,inconclusive_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,20,ridge_sgd_l2,L2 one-vs-rest logistic,set_transformer,Set Transformer,22.656402714920443,18.077100706205275,4.579302008715163,3.988836160688381,5.169767856741945,coverage_game_equal,0.9,0.9355882914309332,0.9224792848183356,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,20,lightgbm_multiclass,LightGBM,zoo_cnn,Zoo CNN,17.079649307362516,21.656214196611028,-4.576564889248517,-7.7621156340440915,-1.3910141444529427,coverage_game_equal,0.9,0.9142168534928448,0.9223716705165854,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,20,lightgbm_multiclass,LightGBM,set_transformer,Set Transformer,17.079649307362516,18.077100706205275,-0.9974513988427646,-1.5308359471306465,-0.4640668505548826,coverage_game_equal,0.9,0.9142168534928448,0.9224792848183356,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,20,zoo_cnn,Zoo CNN,set_transformer,Set Transformer,21.656214196611028,18.077100706205275,3.5791134904057538,0.43648753771455917,6.721739443096949,coverage_game_equal,0.9,0.9223716705165854,0.9224792848183356,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width,mean_width,play,40,ridge_sgd_l2,L2 one-vs-rest logistic,lightgbm_multiclass,LightGBM,21.71064468787868,15.01899107609301,6.691653611785667,6.438045542250969,6.945261681320365,coverage,0.9,0.9365846002713241,0.9136590703446782,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width,mean_width,play,40,ridge_sgd_l2,L2 one-vs-rest logistic,zoo_cnn,Zoo CNN,21.71064468787868,18.090440659374373,3.6202040285043076,2.2589633803970877,4.9814446766115275,coverage,0.9,0.9365846002713241,0.9184859653303122,True,True,True,zoo_cnn,Zoo CNN,True,sharper_at_controlled_coverage
mean_width,mean_width,play,40,ridge_sgd_l2,L2 one-vs-rest logistic,set_transformer,Set Transformer,21.71064468787868,15.75379159988268,5.956853087996002,5.601866157932403,6.311840018059601,coverage,0.9,0.9365846002713241,0.9182788803845232,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width,mean_width,play,40,lightgbm_multiclass,LightGBM,zoo_cnn,Zoo CNN,15.01899107609301,18.090440659374373,-3.07144958328136,-4.443577423070198,-1.6993217434925219,coverage,0.9,0.9136590703446782,0.9184859653303122,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width,mean_width,play,40,lightgbm_multiclass,LightGBM,set_transformer,Set Transformer,15.01899107609301,15.75379159988268,-0.7348005237896666,-1.0483414149013743,-0.4212596326779591,coverage,0.9,0.9136590703446782,0.9182788803845232,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width,mean_width,play,40,zoo_cnn,Zoo CNN,set_transformer,Set Transformer,18.090440659374373,15.75379159988268,2.3366490594916947,0.956612305168784,3.716685813814605,coverage,0.9,0.9184859653303122,0.9182788803845232,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width_inclusive,mean_width_inclusive,play,40,ridge_sgd_l2,L2 one-vs-rest logistic,lightgbm_multiclass,LightGBM,22.71064468787868,16.018991076093013,6.691653611785667,6.438045542250969,6.945261681320365,coverage,0.9,0.9365846002713241,0.9136590703446782,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive,mean_width_inclusive,play,40,ridge_sgd_l2,L2 one-vs-rest logistic,zoo_cnn,Zoo CNN,22.71064468787868,19.090440659374373,3.6202040285043076,2.2589633803970877,4.9814446766115275,coverage,0.9,0.9365846002713241,0.9184859653303122,True,True,True,zoo_cnn,Zoo CNN,True,sharper_at_controlled_coverage
mean_width_inclusive,mean_width_inclusive,play,40,ridge_sgd_l2,L2 one-vs-rest logistic,set_transformer,Set Transformer,22.71064468787868,16.753791599882682,5.956853087996002,5.601866157932404,6.3118400180596,coverage,0.9,0.9365846002713241,0.9182788803845232,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width_inclusive,mean_width_inclusive,play,40,lightgbm_multiclass,LightGBM,zoo_cnn,Zoo CNN,16.018991076093013,19.090440659374373,-3.07144958328136,-4.443577423070198,-1.6993217434925219,coverage,0.9,0.9136590703446782,0.9184859653303122,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive,mean_width_inclusive,play,40,lightgbm_multiclass,LightGBM,set_transformer,Set Transformer,16.018991076093013,16.753791599882682,-0.7348005237896666,-1.0483414149013743,-0.4212596326779591,coverage,0.9,0.9136590703446782,0.9182788803845232,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive,mean_width_inclusive,play,40,zoo_cnn,Zoo CNN,set_transformer,Set Transformer,19.090440659374373,16.753791599882682,2.3366490594916947,0.956612305168784,3.716685813814605,coverage,0.9,0.9184859653303122,0.9182788803845232,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width_game_equal,mean_width,game_equal,40,ridge_sgd_l2,L2 one-vs-rest logistic,lightgbm_multiclass,LightGBM,21.65642785811178,15.043029427806095,6.61339843030568,6.359376055920758,6.867420804690602,coverage_game_equal,0.9,0.9362557474840426,0.9140696856401923,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_game_equal,mean_width,game_equal,40,ridge_sgd_l2,L2 one-vs-rest logistic,zoo_cnn,Zoo CNN,21.65642785811178,18.115114575626773,3.541313282485005,2.181601453372665,4.901025111597345,coverage_game_equal,0.9,0.9362557474840426,0.9186896258944598,True,True,True,zoo_cnn,Zoo CNN,True,sharper_at_controlled_coverage
mean_width_game_equal,mean_width,game_equal,40,ridge_sgd_l2,L2 one-vs-rest logistic,set_transformer,Set Transformer,21.65642785811178,15.75967627026762,5.896751587844153,5.542260461712573,6.251242713975733,coverage_game_equal,0.9,0.9362557474840426,0.9182850749178522,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width_game_equal,mean_width,game_equal,40,lightgbm_multiclass,LightGBM,zoo_cnn,Zoo CNN,15.043029427806095,18.115114575626773,-3.0720851478206708,-4.444956550853093,-1.6992137447882483,coverage_game_equal,0.9,0.9140696856401923,0.9186896258944598,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_game_equal,mean_width,game_equal,40,lightgbm_multiclass,LightGBM,set_transformer,Set Transformer,15.043029427806095,15.75967627026762,-0.7166468424615231,-1.0295303779344704,-0.4037633069885758,coverage_game_equal,0.9,0.9140696856401923,0.9182850749178522,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
