model,model_display_name,n_train,metric,base_metric,aggregation,n_repeats,mean,sd,mcse,median,iqr,q10,q90
ridge_sgd_l2,L2 one-vs-rest logistic,20,crps,crps,play,100,0.014285241836098988,0.00025648271869065255,2.5648271869065254e-05,0.014273337325044091,0.0003554402358052003,0.013956867262911227,0.014648513437097678
ridge_sgd_l2,L2 one-vs-rest logistic,20,coverage,coverage,play,100,0.9376426948762356,0.006107942094812493,0.0006107942094812493,0.9381311931744208,0.009032513844107748,0.9288289361774325,0.945936711884116
ridge_sgd_l2,L2 one-vs-rest logistic,20,mean_width,mean_width,play,100,21.710085613400068,0.9337000562597817,0.09337000562597816,21.61412764058474,1.230555728454874,20.47441137218311,22.953975342957754
ridge_sgd_l2,L2 one-vs-rest logistic,20,mean_width_inclusive,mean_width_inclusive,play,100,22.710085613400068,0.9337000562597817,0.09337000562597816,22.61412764058474,1.230555728454874,21.47441137218311,23.953975342957754
ridge_sgd_l2,L2 one-vs-rest logistic,20,mean_q,mean_q,play,100,0.3685591472669467,0.1693071489748947,0.01693071489748947,0.3448415807038453,0.22239779711097646,0.1705896566412637,0.5843048001900911
ridge_sgd_l2,L2 one-vs-rest logistic,20,crps_game_equal,crps,game_equal,100,0.01424505116193487,0.0002546166966265676,2.546166966265676e-05,0.01423537527378,0.0003585494024243435,0.013921924335491408,0.01460608517913316
ridge_sgd_l2,L2 one-vs-rest logistic,20,coverage_game_equal,coverage,game_equal,100,0.9372981188886242,0.006168860328579351,0.0006168860328579351,0.9375140699664489,0.0091381432783193,0.9287680910221707,0.945457541200191
ridge_sgd_l2,L2 one-vs-rest logistic,20,mean_width_game_equal,mean_width,game_equal,100,21.656402714920443,0.9313592128680385,0.09313592128680384,21.543095967010096,1.2380547756426097,20.442499357682713,22.906777918757296
ridge_sgd_l2,L2 one-vs-rest logistic,20,mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,100,22.656402714920443,0.9313592128680386,0.09313592128680385,22.543095967010093,1.2380547756426097,21.442499357682713,23.906777918757296
ridge_sgd_l2,L2 one-vs-rest logistic,40,crps,crps,play,100,0.01424862181019373,0.00025241415875467977,2.524141587546798e-05,0.014245557347161987,0.0003635753719821236,0.013906538153344954,0.014544175853871232
