metric,model_a,model_b,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws
crps,ridge_sgd_l2,lightgbm_multiclass,change(ridge_sgd_l2) - change(lightgbm_multiclass),100,0.0008135395944221073,9.661822120796335e-05,9.661822120796336e-06,0.0007943684431875617,0.0008327107456566529,0.0007835424396810418,0.0008435367491631728,0.95,3.1047098948860716,10000
crps,ridge_sgd_l2,zoo_cnn,change(ridge_sgd_l2) - change(zoo_cnn),100,0.003282333047276021,0.0012473948925678761,0.0001247394892567876,0.0030348228381701678,0.003529843256381874,0.0028950531206974376,0.003669612973854604,0.95,3.1047098948860716,10000
crps,ridge_sgd_l2,set_transformer,change(ridge_sgd_l2) - change(set_transformer),100,0.0013109027322923505,0.00022466371969002679,2.246637196900268e-05,0.001266324576192556,0.001355480888392145,0.0012411511649379969,0.0013806542996467042,0.95,3.1047098948860716,10000
crps,lightgbm_multiclass,zoo_cnn,change(lightgbm_multiclass) - change(zoo_cnn),100,0.0024687934528539136,0.0012349730463344052,0.00012349730463344052,0.002223748007534609,0.002713838898173218,0.0020853701491667116,0.0028522167565411156,0.95,3.1047098948860716,10000
crps,lightgbm_multiclass,set_transformer,change(lightgbm_multiclass) - change(set_transformer),100,0.0004973631378702431,0.00023247910234176956,2.3247910234176955e-05,0.000451234240296437,0.0005434920354440492,0.00042518512093077073,0.0005695411548097155,0.95,3.1047098948860716,10000
crps,zoo_cnn,set_transformer,change(zoo_cnn) - change(set_transformer),100,-0.0019714303149836712,0.001247645215878817,0.0001247645215878817,-0.0022189901936652172,-0.0017238704363021255,-0.0023587879596882943,-0.0015840726702790481,0.95,3.1047098948860716,10000
coverage,ridge_sgd_l2,lightgbm_multiclass,change(ridge_sgd_l2) - change(lightgbm_multiclass),100,0.0001146120988231214,0.006340230765486483,0.0006340230765486483,-0.0011434272373123937,0.0013726514349586365,-0.0018538456205235761,0.002083069818169819,0.95,3.1047098948860716,10000
coverage,ridge_sgd_l2,zoo_cnn,change(ridge_sgd_l2) - change(zoo_cnn),100,0.008825427462389328,0.02321028962600748,0.002321028962600748,0.004220002449854312,0.013430852474924345,0.0016193058758856328,0.016031549048893024,0.95,3.1047098948860716,10000
coverage,ridge_sgd_l2,set_transformer,change(ridge_sgd_l2) - change(set_transformer),100,-0.0008104184946717774,0.01172696076773608,0.0011726960767736079,-0.0031373019291736975,0.0015164649398301429,-0.004451299607924874,0.002830462618581319,0.95,3.1047098948860716,10000
coverage,lightgbm_multiclass,zoo_cnn,change(lightgbm_multiclass) - change(zoo_cnn),100,0.008710815363566209,0.02232111430336513,0.002232111430336513,0.0042818220258362075,0.01313980870129621,0.0017807569193121339,0.015640873807820282,0.95,3.1047098948860716,10000
coverage,lightgbm_multiclass,set_transformer,change(lightgbm_multiclass) - change(set_transformer),100,-0.0009250305934948988,0.012124432417719318,0.0012124432417719318,-0.0033307810265609064,0.0014807198395711085,-0.004689315123211961,0.0028392539362221635,0.95,3.1047098948860716,10000
coverage,zoo_cnn,set_transformer,change(zoo_cnn) - change(set_transformer),100,-0.009635845957061106,0.02414420489516738,0.002414420489516738,-0.01442658002043011,-0.004845111893692103,-0.017131921141279396,-0.0021397707728428176,0.95,3.1047098948860716,10000
mean_width,ridge_sgd_l2,lightgbm_multiclass,change(ridge_sgd_l2) - change(lightgbm_multiclass),100,2.297989839635385,0.6680007436590055,0.06680007436590055,2.1654439997165245,2.4305356795542457,2.090594987772448,2.505384691498322,0.95,3.1047098948860716,10000
mean_width,ridge_sgd_l2,zoo_cnn,change(ridge_sgd_l2) - change(zoo_cnn),100,6.41448399533476,8.363131155803812,0.8363131155803811,4.755057334631127,8.073910656038393,3.817974390169352,9.010993600500168,0.95,3.1047098948860716,10000
mean_width,ridge_sgd_l2,set_transformer,change(ridge_sgd_l2) - change(set_transformer),100,2.4948885945523274,1.4907367516844612,0.1490736751684461,2.1990940812593975,2.790683107845257,2.0320580801898207,2.957719108914834,0.95,3.1047098948860716,10000
mean_width,lightgbm_multiclass,zoo_cnn,change(lightgbm_multiclass) - change(zoo_cnn),100,4.116494155699372,8.20353592251322,0.820353592251322,2.4887346517232567,5.744253659675487,1.5695342405313588,6.663454070867385,0.95,3.1047098948860716,10000
mean_width,lightgbm_multiclass,set_transformer,change(lightgbm_multiclass) - change(set_transformer),100,0.19689875491694223,1.3992776220203165,0.13992776220203165,-0.08074828283100491,0.4745457926648894,-0.23753635296097067,0.6313338627948551,0.95,3.1047098948860716,10000
mean_width,zoo_cnn,set_transformer,change(zoo_cnn) - change(set_transformer),100,-3.9195954007824327,8.211733121814637,0.8211733121814637,-5.548981406939425,-2.2902093946254407,-6.469100308528592,-1.3700904930362734,0.95,3.1047098948860716,10000
mean_width_inclusive,ridge_sgd_l2,lightgbm_multiclass,change(ridge_sgd_l2) - change(lightgbm_multiclass),100,2.297989839635385,0.6680007436590055,0.06680007436590055,2.1654439997165245,2.4305356795542457,2.090594987772448,2.505384691498322,0.95,3.1047098948860716,10000
mean_width_inclusive,ridge_sgd_l2,zoo_cnn,change(ridge_sgd_l2) - change(zoo_cnn),100,6.41448399533476,8.363131155803812,0.8363131155803811,4.755057334631127,8.073910656038393,3.817974390169352,9.010993600500168,0.95,3.1047098948860716,10000
mean_width_inclusive,ridge_sgd_l2,set_transformer,change(ridge_sgd_l2) - change(set_transformer),100,2.4948885945523283,1.4907367516844612,0.1490736751684461,2.1990940812593984,2.790683107845258,2.0320580801898216,2.957719108914835,0.95,3.1047098948860716,10000
