metric,model,size_from,size_to,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws
mean_width,ridge_sgd_l2,20,40,40 - 20,100,0.0005590744786083234,0.7085091196359741,0.07085091196359741,-0.140024506069411,0.14114265502662762,-0.2534654099584814,0.254583558915698,0.95,3.5853382461414935,10000
mean_width,ridge_sgd_l2,40,80,80 - 40,100,-0.02583027608406578,0.5501603060475354,0.05501603060475354,-0.13499401661473825,0.08333346444660668,-0.22308135476217955,0.17142080259404802,0.95,3.5853382461414935,10000
mean_width,ridge_sgd_l2,80,160,160 - 80,100,-0.035967726886695035,0.3698163914810727,0.03698163914810727,-0.1093473221789466,0.03741186840555654,-0.16855941212940756,0.0966239583560175,0.95,3.5853382461414935,10000
mean_width,ridge_sgd_l2,160,240,240 - 160,100,-0.03640446542529066,0.25931624420659766,0.025931624420659764,-0.08785843418092029,0.01504950333033897,-0.12937811024525886,0.05656917939467754,0.95,3.5853382461414935,10000
mean_width,ridge_sgd_l2,240,360,360 - 240,100,-0.017991147762611064,0.17555651528555064,0.017555651528555063,-0.05282536912034934,0.01684307359512721,-0.08093409662387191,0.044951801098649775,0.95,3.5853382461414935,10000
mean_width_inclusive,ridge_sgd_l2,20,40,40 - 20,100,0.0005590744786083234,0.7085091196359741,0.07085091196359741,-0.140024506069411,0.14114265502662762,-0.2534654099584814,0.254583558915698,0.95,3.5853382461414935,10000
mean_width_inclusive,ridge_sgd_l2,40,80,80 - 40,100,-0.02583027608406578,0.5501603060475354,0.05501603060475354,-0.13499401661473825,0.08333346444660668,-0.22308135476217955,0.17142080259404802,0.95,3.5853382461414935,10000
mean_width_inclusive,ridge_sgd_l2,80,160,160 - 80,100,-0.035967726886695035,0.3698163914810727,0.03698163914810727,-0.1093473221789466,0.03741186840555654,-0.16855941212940756,0.0966239583560175,0.95,3.5853382461414935,10000
mean_width_inclusive,ridge_sgd_l2,160,240,240 - 160,100,-0.03640446542529066,0.25931624420659766,0.025931624420659764,-0.08785843418092029,0.01504950333033897,-0.12937811024525886,0.05656917939467754,0.95,3.5853382461414935,10000
mean_width_inclusive,ridge_sgd_l2,240,360,360 - 240,100,-0.017991147762611064,0.17555651528555064,0.017555651528555063,-0.05282536912034934,0.01684307359512721,-0.08093409662387191,0.044951801098649775,0.95,3.5853382461414935,10000
mean_q,ridge_sgd_l2,20,40,40 - 20,100,-0.021429446132874987,0.14747504131266667,0.014747504131266667,-0.05069169382257864,0.007832801556828663,-0.07430423672983505,0.031445344464085076,0.95,3.5853382461414935,10000
mean_q,ridge_sgd_l2,40,80,80 - 40,100,-0.005234670948920991,0.09142681353021433,0.009142681353021433,-0.023375734271828458,0.012906392373986476,-0.0380142760761934,0.027544934178351414,0.95,3.5853382461414935,10000
mean_q,ridge_sgd_l2,80,160,160 - 80,100,-0.02530244301230919,0.06891344740245264,0.006891344740245264,-0.038976366064594044,-0.011628519960024336,-0.050010244876856555,-0.000594641147761827,0.95,3.5853382461414935,10000
mean_q,ridge_sgd_l2,160,240,240 - 160,100,0.002623940316477918,0.05229867022303188,0.005229867022303188,-0.007753250483312305,0.013001131116268142,-0.016126901940819827,0.021374782573775664,0.95,3.5853382461414935,10000
mean_q,ridge_sgd_l2,240,360,360 - 240,100,-0.0036046852785044914,0.044795687927785995,0.0044795687927785995,-0.012493121612585074,0.00528375105557609,-0.01966545459747548,0.0124560840404665,0.95,3.5853382461414935,10000
